date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,243.89,245.0,241.8,243.74,3456873,False
1,2026-06-30,245.75,249.0,241.0,242.62,6671079,False
2,2026-06-29,247.98,249.9,243.0,244.49,3454522,False
3,2026-06-24,245.05,248.7,244.36,247.98,4102051,False
4,2026-06-23,243.97,246.5,242.55,244.32,4863762,False
5,2026-06-22,244.01,244.98,240.9,242.63,7075385,False
6,2026-06-19,250.49,252.0,240.16,241.94,12036538,False
7,2026-06-18,246.3,251.5,246.3,249.06,9554594,False
8,2026-06-17,241.0,247.1,239.5,245.58,12349535,False
9,2026-06-16,233.8,240.45,231.13,238.89,9142364,False
10,2026-06-15,233.9,233.9,226.7,232.78,8153501,False
11,2026-06-12,226.99,228.25,224.0,225.84,3398384,False
12,2026-06-11,224.88,224.88,221.8,222.67,2987442,False
13,2026-06-10,223.51,226.0,223.51,224.06,998269,False
14,2026-06-09,228.01,228.95,224.9,225.3,2489049,False
15,2026-06-08,227.0,227.0,224.0,224.82,2229616,False
16,2026-06-05,233.5,234.09,228.01,228.73,2750296,False
17,2026-06-04,229.0,233.88,228.5,232.78,4811743,False
18,2026-06-03,228.5,231.03,226.9,228.18,2425779,False
19,2026-06-02,227.98,234.9,227.51,230.37,3918931,False
20,2026-06-01,238.0,238.05,227.0,228.11,4205488,False
21,2026-05-29,240.68,241.45,236.62,237.53,3702125,False
22,2026-05-25,239.99,242.0,238.5,240.73,4808099,False
23,2026-05-22,235.0,236.89,232.56,235.26,4777183,False
24,2026-05-21,231.88,234.94,230.0,234.11,6167890,False
25,2026-05-20,223.0,227.9,222.24,226.79,2916477,False
26,2026-05-19,220.1,223.69,219.25,222.26,3496553,False
27,2026-05-18,224.01,225.99,217.35,217.9,3074000,False
28,2026-05-15,227.55,229.0,222.0,227.37,3198271,False
29,2026-05-14,230.0,232.1,226.8,227.54,2171756,False
30,2026-05-13,228.0,231.88,228.0,229.94,2519223,False
31,2026-05-12,231.8,235.78,228.5,229.84,6200930,False
32,2026-05-11,228.95,232.5,227.0,231.84,3278202,False
33,2026-05-08,230.5,233.69,228.51,229.93,5009796,False
34,2026-05-07,233.73,237.09,230.3,234.88,7070913,False
35,2026-05-06,222.0,237.38,222.0,232.72,17196634,False
36,2026-05-05,208.0,218.0,205.51,215.97,6318068,False
37,2026-05-04,210.89,216.4,207.0,209.17,6457740,False
38,2026-04-30,215.9,216.0,202.1,206.64,7936437,False
39,2026-04-29,226.0,227.89,216.5,217.89,5253360,False
40,2026-04-28,226.0,228.45,225.0,225.47,2827974,False
41,2026-04-27,230.5,234.95,227.5,228.59,3699011,False
42,2026-04-24,225.97,234.2,223.01,232.0,4898935,False
43,2026-04-23,233.4,233.5,226.51,228.23,2782143,False
44,2026-04-22,238.0,239.65,233.15,234.04,4634600,False
45,2026-04-21,242.01,243.45,238.0,239.56,6228671,False
46,2026-04-20,235.0,246.88,232.0,239.77,15032761,False
47,2026-04-17,230.25,241.8,227.5,238.43,13606643,False
48,2026-04-16,225.1,231.0,225.07,228.28,11449484,False
49,2026-04-15,226.9,226.9,221.06,221.97,6856960,False
50,2026-04-14,219.0,220.48,218.0,218.7,3366537,False
51,2026-04-13,220.0,221.9,213.0,214.47,5881650,False
52,2026-04-10,225.0,227.0,222.65,224.47,6554328,False
53,2026-04-09,225.98,226.45,221.0,224.09,8698610,False
54,2026-04-08,227.83,227.83,221.0,227.83,10190331,False
55,2026-04-07,204.94,208.4,203.6,207.12,4851678,False
56,2026-04-06,201.09,209.25,199.5,207.65,8689659,False
57,2026-04-03,196.0,207.25,196.0,201.08,6832475,False
58,2026-04-02,203.99,204.0,198.02,201.21,4639788,False
59,2026-04-01,205.0,213.05,204.25,209.51,12063067,False
60,2026-03-31,197.0,203.5,195.11,198.18,6638718,False
61,2026-03-30,202.99,203.0,186.9,196.68,12435449,False
62,2026-03-27,207.98,209.35,201.12,204.68,9022230,False
63,2026-03-26,219.0,219.35,209.0,210.88,5094295,False
64,2026-03-25,217.0,222.0,216.8,220.45,7654744,False
65,2026-03-24,220.0,221.0,213.54,214.76,5723725,False
66,2026-03-19,216.49,216.49,210.5,213.83,5061334,False
67,2026-03-18,208.0,221.5,205.5,219.37,6977036,False
68,2026-03-17,204.0,207.33,200.1,206.57,3162497,False
69,2026-03-16,210.11,211.8,200.71,202.25,2014102,False
70,2026-03-13,209.48,212.0,206.2,209.5,2830883,False
71,2026-03-12,210.0,216.47,208.0,210.62,3524255,False
72,2026-03-11,224.87,224.87,213.06,214.74,4188514,False
73,2026-03-10,219.8,224.5,215.1,220.36,7999142,False
74,2026-03-09,213.5,213.5,194.06,204.77,12834557,False
75,2026-03-06,218.59,219.5,210.51,214.75,8520034,False
76,2026-03-05,205.07,222.0,205.0,218.4,14694443,False
77,2026-03-04,199.0,205.5,196.1,204.21,21869075,False
78,2026-03-03,195.0,205.0,191.11,199.56,12292894,False
79,2026-03-02,195.08,211.0,195.08,195.08,13764333,False
80,2026-02-27,217.95,220.99,214.55,216.75,4604802,False
81,2026-02-26,211.0,221.0,206.11,220.08,9738299,False
