date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,919.6,947.89,919.6,930.13,782,False
1,2026-06-30,930.0,954.0,912.0,943.82,653,False
2,2026-06-29,942.95,943.0,905.0,929.54,599,False
3,2026-06-24,940.0,944.95,912.02,915.49,145,False
4,2026-06-23,942.0,944.99,912.0,918.4,194,False
5,2026-06-22,945.0,945.0,906.0,915.2,179,False
6,2026-06-19,950.0,950.0,906.07,914.84,250,False
7,2026-06-18,924.89,924.89,902.0,910.12,502,False
8,2026-06-17,896.02,926.0,896.02,906.77,306,False
9,2026-06-16,934.0,934.0,895.01,910.02,153,False
10,2026-06-15,905.01,939.95,865.0,918.14,392,False
11,2026-06-12,902.02,944.0,902.02,914.86,539,False
12,2026-06-11,939.8,939.8,905.07,910.7,268,False
13,2026-06-10,902.01,945.0,902.01,916.68,468,False
14,2026-06-09,939.54,965.0,875.0,920.62,2153,False
15,2026-06-08,845.0,944.46,845.0,939.54,4871,False
16,2026-06-05,850.02,873.95,845.51,858.6,630,False
17,2026-06-04,853.01,873.85,853.0,856.64,80,False
18,2026-06-03,845.01,874.95,845.01,852.97,62,False
19,2026-06-02,864.95,865.0,841.55,859.94,942,False
20,2026-06-01,845.05,860.0,845.05,853.79,208,False
21,2026-05-29,840.05,864.85,840.0,859.49,122,False
22,2026-05-25,866.95,867.0,825.0,850.39,73,False
23,2026-05-22,870.0,870.0,808.0,851.86,248,False
24,2026-05-21,850.01,865.0,841.08,854.4,176,False
25,2026-05-20,868.95,869.0,840.02,855.9,200,False
26,2026-05-19,855.0,859.9,838.0,849.38,104,False
27,2026-05-18,877.0,877.0,836.0,840.97,418,False
28,2026-05-15,874.95,874.95,847.05,868.26,96,False
29,2026-05-14,879.95,879.95,846.05,860.09,140,False
30,2026-05-13,845.12,880.0,845.12,865.68,136,False
31,2026-05-12,845.01,860.95,845.01,858.77,105,False
32,2026-05-11,840.58,879.95,840.58,857.23,64,False
33,2026-05-08,840.0,879.0,840.0,861.07,196,False
34,2026-05-07,879.95,879.95,852.02,856.08,154,False
35,2026-05-06,875.2,875.2,832.01,851.12,307,False
36,2026-05-05,869.95,869.95,830.01,858.45,76,False
37,2026-05-04,879.95,880.0,831.02,843.74,158,False
38,2026-04-30,831.01,855.0,831.01,850.01,1079,False
39,2026-04-29,879.9,880.0,830.0,850.19,1491,False
40,2026-04-28,879.95,879.95,830.0,852.62,209,False
41,2026-04-27,847.0,879.9,847.0,860.57,222,False
42,2026-04-24,884.95,884.95,841.0,868.11,209,False
43,2026-04-23,927.0,927.0,839.05,855.34,204,False
