date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,54.24,55.25,51.67,51.87,7351195,False
1,2026-06-30,49.49,53.74,49.45,53.74,24056099,False
2,2026-06-29,49.72,50.0,48.5,48.85,4574478,False
3,2026-06-24,49.1,50.1,48.73,49.72,1881724,False
4,2026-06-23,50.2,50.3,49.0,49.24,1518479,False
5,2026-06-22,52.0,52.4,49.36,49.62,3423856,False
6,2026-06-19,49.21,52.4,49.0,51.56,5591643,False
7,2026-06-18,52.0,52.75,49.13,49.68,3114980,False
8,2026-06-17,57.97,57.97,51.05,51.5,22496290,False
9,2026-06-16,52.6,52.7,52.5,52.7,2422907,False
10,2026-06-15,45.0,47.91,44.51,47.91,4812076,False
11,2026-06-12,43.6,45.0,43.2,43.55,1922837,False
12,2026-06-11,42.5,43.85,42.15,43.45,1678728,False
13,2026-06-10,43.89,44.0,42.01,42.6,875198,False
14,2026-06-09,44.61,44.87,42.82,44.03,3375895,False
15,2026-06-08,42.5,46.4,42.3,44.29,13078906,False
16,2026-06-05,39.01,42.59,39.0,42.59,7263781,False
17,2026-06-04,38.5,39.25,38.1,38.72,2837943,False
18,2026-06-03,37.99,39.55,37.53,38.06,2936794,False
19,2026-06-02,38.19,38.89,37.5,38.18,1631804,False
20,2026-06-01,38.69,38.69,37.1,37.7,325982,False
21,2026-05-29,38.0,38.78,38.0,38.38,582285,False
22,2026-05-25,37.9,37.9,37.01,37.61,466696,False
23,2026-05-22,37.45,37.5,36.6,36.77,1047722,False
24,2026-05-21,36.94,37.47,36.45,36.91,1150758,False
25,2026-05-20,36.45,36.45,35.5,36.11,238113,False
26,2026-05-19,35.7,39.3,35.7,36.05,945825,False
27,2026-05-18,36.81,37.0,35.11,35.77,487791,False
28,2026-05-15,37.84,37.84,35.16,36.64,268429,False
29,2026-05-14,37.84,37.84,37.0,37.11,263180,False
30,2026-05-13,37.6,38.0,37.3,37.44,152331,False
31,2026-05-12,37.96,38.4,37.5,37.6,188406,False
32,2026-05-11,38.48,38.5,37.51,37.96,816204,False
33,2026-05-08,39.01,39.01,38.0,38.67,413405,False
34,2026-05-07,39.0,40.48,38.99,39.47,1384276,False
35,2026-05-06,37.7,39.45,36.67,39.04,1670155,False
36,2026-05-05,36.4,36.79,35.01,36.57,192911,False
37,2026-05-04,37.1,38.99,36.01,36.44,1030207,False
38,2026-04-30,37.9,37.9,35.75,36.21,1655440,False
39,2026-04-29,39.5,39.5,38.01,38.16,872565,False
40,2026-04-28,38.52,39.95,38.49,38.62,1236478,False
41,2026-04-27,39.2,39.9,38.7,39.08,784136,False
42,2026-04-24,38.94,40.0,37.2,39.43,1421935,False
43,2026-04-23,39.71,40.0,38.51,38.95,738886,False
44,2026-04-22,40.01,40.33,39.06,39.71,825727,False
45,2026-04-21,40.3,41.45,39.75,40.11,2327776,False
46,2026-04-20,39.5,40.7,37.0,40.12,3911114,False
47,2026-04-17,40.4,40.75,39.5,39.84,1734836,False
48,2026-04-16,38.01,40.2,37.01,39.88,3155751,False
49,2026-04-15,38.0,38.25,37.05,37.55,1387362,False
50,2026-04-14,34.55,36.3,34.55,35.95,631713,False
51,2026-04-13,35.0,35.5,33.99,34.24,1091626,False
52,2026-04-10,35.41,37.1,35.41,36.31,2303403,False
53,2026-04-09,36.0,36.1,34.95,35.19,1832765,False
54,2026-04-08,35.09,35.09,34.05,35.09,2329710,False
55,2026-04-07,31.99,32.2,30.7,31.9,875987,False
56,2026-04-06,31.22,32.3,30.02,31.86,847318,False
57,2026-04-03,31.98,31.98,30.32,31.22,2621500,False
58,2026-04-02,30.95,32.45,29.02,32.07,486887,False
59,2026-04-01,30.52,32.2,30.52,31.97,1511187,False
60,2026-03-31,29.9,30.5,29.5,29.92,562417,False
61,2026-03-30,33.99,33.99,30.02,30.02,2350517,False
62,2026-03-27,34.99,34.99,33.0,33.35,264032,False
63,2026-03-26,36.0,36.0,33.75,33.84,1490144,False
64,2026-03-25,35.85,36.5,35.01,36.41,482262,False
65,2026-03-24,34.99,36.9,34.35,34.63,361708,False
66,2026-03-19,35.35,35.35,33.22,33.69,792152,False
67,2026-03-18,34.99,35.88,34.13,35.58,155970,False
68,2026-03-17,35.26,36.0,32.21,34.41,171457,False
69,2026-03-16,36.0,36.0,34.5,34.54,184291,False
70,2026-03-13,35.5,36.5,35.3,36.08,68997,False
71,2026-03-12,37.0,37.5,35.5,35.82,286489,False
72,2026-03-11,35.0,37.24,33.53,36.48,1292618,False
73,2026-03-10,35.48,36.1,32.15,34.17,1367216,False
74,2026-03-09,33.49,35.5,32.85,32.85,1411748,False
75,2026-03-06,38.0,38.4,36.0,36.5,550695,False
76,2026-03-05,38.95,38.99,37.16,37.71,420458,False
77,2026-03-04,36.4,38.5,36.0,38.0,582518,False
78,2026-03-03,36.0,38.0,32.76,36.53,1720013,False
79,2026-03-02,36.4,37.95,36.4,36.4,1140356,False
80,2026-02-27,39.92,40.5,38.0,40.44,779725,False
81,2026-02-26,39.0,40.19,37.38,39.92,3041865,False
82,2026-02-25,41.53,42.55,37.9,38.72,1540509,False
83,2026-02-24,43.4,43.89,39.11,41.52,1627189,False
84,2026-02-23,43.4,44.94,42.5,42.93,990374,False
85,2026-02-20,43.02,44.99,42.5,43.4,1455706,False
86,2026-02-19,46.0,46.0,41.55,42.95,1416445,False
87,2026-02-18,45.07,46.49,45.01,45.96,1668190,False
88,2026-02-17,46.99,47.9,44.5,45.06,3509298,False
89,2026-02-16,48.0,48.01,46.41,46.74,481800,False
90,2026-02-13,47.26,48.1,46.26,48.0,1301292,False
91,2026-02-12,48.39,48.39,46.9,47.25,505122,False
92,2026-02-11,48.49,48.5,47.5,47.82,513319,False
93,2026-02-10,48.5,48.79,47.89,48.11,504878,False
94,2026-02-09,47.8,48.7,47.4,48.03,1429651,False
95,2026-02-06,48.21,48.43,47.0,47.8,886272,False
96,2026-02-04,48.1,48.8,48.1,48.2,1319122,False
97,2026-02-03,48.72,49.48,47.99,48.08,1819685,False
98,2026-02-02,49.1,49.82,47.0,48.72,2428654,False
99,2026-01-30,51.5,51.5,49.8,49.92,1265339,False
100,2026-01-29,51.0,51.45,50.4,50.51,1151045,False
101,2026-01-28,51.5,51.8,50.6,51.21,705209,False
102,2026-01-27,52.3,52.3,50.9,51.12,492675,False
103,2026-01-26,52.36,52.99,50.0,51.37,815211,False
104,2026-01-23,52.8,53.25,52.15,52.33,951779,False
