date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,66.98,72.07,66.75,72.07,28752273,False
1,2026-06-30,65.82,66.49,64.5,65.52,4716836,False
2,2026-06-29,66.14,67.2,64.71,65.82,4043019,False
3,2026-06-24,65.25,66.66,65.0,66.14,4563047,False
4,2026-06-23,65.9,66.3,65.15,65.35,5496682,False
5,2026-06-22,66.28,66.28,65.1,65.85,3541565,False
6,2026-06-19,66.88,67.25,64.0,65.58,6483525,False
7,2026-06-18,67.25,67.67,66.8,67.02,5590774,False
8,2026-06-17,68.5,68.6,67.02,67.25,3932773,False
9,2026-06-16,68.0,69.23,67.51,67.99,12822913,False
10,2026-06-15,67.1,68.75,65.82,67.58,15095036,False
11,2026-06-12,65.2,66.4,64.4,64.62,9381177,False
12,2026-06-11,63.5,65.17,63.11,63.74,8147274,False
13,2026-06-10,65.0,66.26,63.8,63.99,7146356,False
14,2026-06-09,65.53,66.7,65.15,65.46,8685905,False
15,2026-06-08,66.11,66.9,64.6,65.08,5683377,False
16,2026-06-05,68.0,68.2,66.05,67.54,14725109,False
17,2026-06-04,65.15,67.99,65.15,67.56,21963763,False
18,2026-06-03,64.4,66.3,63.6,65.33,23376596,False
19,2026-06-02,62.0,65.2,62.0,64.51,13279530,False
20,2026-06-01,64.18,64.8,62.0,62.25,5822652,False
21,2026-05-29,61.98,65.3,61.75,64.19,15540874,False
22,2026-05-25,61.0,64.0,61.0,63.13,20724805,False
23,2026-05-22,56.7,60.15,56.11,58.85,26697686,False
24,2026-05-21,54.0,57.85,54.0,56.52,16811045,False
25,2026-05-20,51.98,53.35,51.3,53.25,4513148,False
26,2026-05-19,52.39,52.4,51.21,51.76,2484861,False
27,2026-05-18,51.99,52.94,51.01,51.23,3580884,False
28,2026-05-15,51.25,53.68,50.05,52.08,4820083,False
29,2026-05-14,52.7,52.97,51.0,51.29,3386642,False
30,2026-05-13,52.9,53.39,52.1,52.22,1634099,False
31,2026-05-12,54.0,55.0,52.3,52.81,2286216,False
32,2026-05-11,53.94,54.75,52.9,54.08,2411183,False
33,2026-05-08,54.0,54.89,53.8,54.01,3966643,False
34,2026-05-07,53.75,55.9,52.8,54.95,8656992,False
35,2026-05-06,51.51,54.75,51.1,53.67,10393509,False
36,2026-05-05,48.0,50.5,48.0,50.04,3891487,False
37,2026-05-04,50.0,52.1,47.9,49.43,7225966,False
38,2026-04-30,48.29,50.43,44.65,49.02,12162253,False
39,2026-04-29,50.05,50.8,48.0,48.73,6210912,False
40,2026-04-28,51.25,52.3,50.01,50.27,2309831,False
41,2026-04-27,53.0,53.35,51.7,52.0,2239013,False
42,2026-04-24,52.5,53.75,51.1,53.03,5604503,False
43,2026-04-23,53.9,54.35,52.88,53.04,1791661,False
44,2026-04-22,54.0,55.18,53.03,53.74,5700438,False
45,2026-04-21,55.01,56.87,53.76,54.24,19439221,False
46,2026-04-20,54.51,55.75,52.5,54.71,5977138,False
47,2026-04-17,54.5,55.8,54.4,55.39,8126071,False
48,2026-04-16,55.5,56.3,54.0,54.41,8937562,False
49,2026-04-15,58.8,58.8,55.01,55.25,11851297,False
50,2026-04-14,53.01,55.48,53.01,54.59,7842360,False
51,2026-04-13,53.1,53.99,52.0,52.21,5912099,False
52,2026-04-10,54.48,56.99,54.3,56.22,7056878,False
53,2026-04-09,51.45,54.9,49.0,54.07,10825164,False
54,2026-04-08,51.77,51.77,51.77,51.77,3465271,False
55,2026-04-07,48.0,48.0,46.8,47.06,5143944,False
56,2026-04-06,47.3,48.6,46.7,48.11,5757319,False
57,2026-04-03,48.5,49.49,47.1,47.36,5010645,False
58,2026-04-02,48.0,49.7,48.0,48.95,2865608,False
59,2026-04-01,49.1,52.88,49.05,51.76,8565007,False
60,2026-03-31,47.99,49.29,47.23,48.07,6010053,False
61,2026-03-30,51.7,51.7,46.8,47.05,6337529,False
62,2026-03-27,52.87,52.95,51.01,51.36,2354019,False
63,2026-03-26,55.2,55.9,51.5,52.04,5214021,False
64,2026-03-25,54.49,56.48,54.49,55.63,4528068,False
65,2026-03-24,55.38,55.38,52.68,53.59,2500107,False
66,2026-03-19,51.5,52.45,50.0,51.72,2623684,False
67,2026-03-18,50.99,53.45,50.12,52.31,3522295,False
68,2026-03-17,50.13,51.99,48.01,50.28,2249405,False
69,2026-03-16,52.58,52.8,50.05,50.23,2168959,False
70,2026-03-13,52.98,53.94,52.02,52.58,2957732,False
71,2026-03-12,52.9,53.7,52.2,52.64,2497145,False
72,2026-03-11,54.4,55.37,52.1,53.46,4351506,False
73,2026-03-10,54.79,54.79,53.2,54.66,3677091,False
74,2026-03-09,51.74,51.74,48.66,49.81,6082865,False
75,2026-03-06,56.87,56.87,53.16,54.07,3233396,False
76,2026-03-05,51.1,55.75,51.0,55.69,8077716,False
77,2026-03-04,52.0,52.0,50.02,50.68,2250392,False
78,2026-03-03,50.6,55.0,48.42,51.98,11424123,False
79,2026-03-02,53.66,55.9,53.66,53.66,8285168,False
80,2026-02-27,59.74,60.7,57.75,59.62,8062132,False
81,2026-02-26,57.0,61.2,54.53,60.03,13058042,False
82,2026-02-25,57.05,59.9,55.8,56.53,7104885,False
83,2026-02-24,58.3,59.99,53.9,56.59,12653363,False
84,2026-02-23,59.5,61.2,55.7,57.1,17077810,False
85,2026-02-20,58.1,60.38,54.5,59.22,13239041,False
86,2026-02-19,59.1,61.5,55.1,57.35,11670842,False
87,2026-02-18,53.5,58.52,52.52,58.49,25472990,False
88,2026-02-17,55.0,55.01,52.0,53.2,11848348,False
89,2026-02-16,58.11,58.5,54.0,54.86,10524892,False
90,2026-02-13,58.73,59.48,58.55,58.94,4373416,False
91,2026-02-12,60.01,61.39,56.26,58.73,12572387,False
