date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,9683.99,9684.0,9529.99,9541.26,37,False
1,2026-06-30,9302.0,9596.5,9220.0,9519.69,53,False
2,2026-06-29,9599.0,9599.0,9526.0,9558.5,37,False
3,2026-06-24,9599.99,9599.99,9506.0,9506.37,16,False
4,2026-06-23,9647.0,9647.0,9491.0,9516.09,125,False
5,2026-06-22,9555.0,9631.0,9500.0,9500.0,75,False
6,2026-06-19,9600.0,9617.99,9450.0,9556.33,30,False
7,2026-06-18,9649.85,9649.85,9595.01,9605.45,32,False
8,2026-06-17,9689.9,9689.9,9550.01,9600.0,161,False
9,2026-06-16,9587.0,9670.0,9587.0,9627.0,36,False
10,2026-06-15,9799.99,9799.99,9550.8,9589.2,59,False
11,2026-06-12,9501.0,9685.99,9501.0,9550.8,74,False
12,2026-06-11,9501.0,9598.99,9501.0,9564.25,25,False
13,2026-06-10,9420.01,9559.78,9420.01,9547.15,216,False
14,2026-06-09,9589.99,9589.99,9400.0,9444.39,184,False
15,2026-06-08,9660.0,9660.0,9432.01,9506.0,99,False
16,2026-06-05,9780.0,9780.0,9563.0,9624.46,20,False
17,2026-06-04,9699.0,9699.0,9695.87,9695.87,7,False
18,2026-06-03,9531.0,9970.0,9400.0,9665.16,238,False
19,2026-06-02,9863.0,9863.0,9600.0,9649.76,258,False
20,2026-06-01,9570.0,9990.0,9570.0,9687.5,83,False
21,2026-05-29,9799.0,9799.0,9651.7,9718.87,48,False
22,2026-05-25,9647.0,9700.0,9606.0,9697.0,110,False
23,2026-05-22,9506.0,9650.0,9506.0,9647.5,56,False
24,2026-05-21,9506.0,9600.0,9506.0,9525.33,84,False
25,2026-05-20,9510.1,9579.99,9510.0,9520.71,149,False
26,2026-05-19,9481.1,9550.0,9481.0,9499.99,93,False
27,2026-05-18,9451.0,9594.99,9451.0,9480.11,59,False
28,2026-05-15,9589.8,9700.0,9515.0,9515.0,198,False
29,2026-05-14,9569.0,9594.99,9432.21,9498.34,240,False
30,2026-05-13,9000.0,9670.0,9000.0,9506.27,66,False
31,2026-05-12,9466.0,9750.0,9466.0,9572.86,168,False
32,2026-05-11,9534.0,9600.0,9442.0,9546.09,103,False
33,2026-05-08,9376.0,9560.0,9255.0,9430.72,96,False
34,2026-05-07,9590.0,9590.0,9403.0,9472.48,151,False
35,2026-05-06,9411.0,9544.99,9400.01,9498.95,262,False
36,2026-05-05,9590.0,9590.0,8900.0,9455.33,50,False
37,2026-05-04,9499.99,9499.99,9375.0,9390.03,27,False
38,2026-04-30,9494.0,9549.99,9366.0,9401.75,50,False
39,2026-04-29,9400.01,9500.0,9400.0,9489.24,120,False
40,2026-04-28,9381.0,9449.0,9381.0,9397.51,72,False
41,2026-04-27,9673.0,9673.0,9300.0,9399.8,462,False
42,2026-04-24,9584.0,9584.0,9351.0,9452.63,148,False
43,2026-04-23,9401.0,9449.94,9355.01,9400.3,428,False
44,2026-04-22,9500.01,9587.99,9385.0,9410.13,323,False
45,2026-04-21,9501.0,9692.0,9475.0,9504.06,749,False
46,2026-04-20,9770.0,9770.0,9301.0,9495.34,254,False
47,2026-04-17,9225.0,9700.0,9225.0,9637.84,523,False
48,2026-04-16,9499.9,9499.9,9381.0,9488.7,125,False
49,2026-04-15,9649.0,9749.49,9355.0,9401.92,970,False
50,2026-04-14,9201.0,9776.0,9200.0,9463.33,611,False
51,2026-04-13,8853.1,9399.9,8853.1,9323.52,126,False
52,2026-04-10,9263.5,9400.0,9100.0,9312.93,305,False
53,2026-04-09,9498.9,9498.9,9102.0,9263.41,126,False
54,2026-04-08,9149.99,9250.0,9081.0,9132.35,759,False
55,2026-04-07,9300.0,9300.0,8930.2,9041.83,46,False
56,2026-04-06,8949.9,8949.9,8800.12,8930.25,168,False
57,2026-04-03,8740.0,8999.9,8700.0,8852.13,66,False
58,2026-04-02,8899.99,9000.0,8899.99,8906.0,130,False
59,2026-04-01,8790.0,9000.0,8790.0,8900.13,150,False
60,2026-03-31,8713.99,8819.99,8713.99,8782.85,283,False
61,2026-03-30,8919.0,8919.0,8650.0,8714.87,544,False
62,2026-03-27,8922.99,8939.0,8841.0,8893.81,521,False
63,2026-03-26,8910.22,8979.9,8900.1,8923.4,77,False
64,2026-03-25,9089.9,9089.9,8951.01,8975.84,215,False
65,2026-03-24,8987.31,9089.9,8883.0,8993.58,72,False
66,2026-03-19,8702.0,8988.89,8601.0,8987.31,122,False
67,2026-03-18,8999.98,8999.99,8975.0,8989.17,45,False
68,2026-03-17,8940.11,9099.98,8940.0,9000.0,58,False
69,2026-03-16,8500.0,9124.8,8500.0,8935.1,17,False
70,2026-03-13,9048.0,9075.0,8800.01,9050.14,95,False
71,2026-03-12,9001.0,9018.11,9001.0,9075.0,2,True
72,2026-03-11,9193.9,9209.0,9055.0,9075.0,138,False
73,2026-03-10,9199.99,9200.0,9056.0,9141.86,50,False
74,2026-03-09,9370.0,9370.0,8508.0,8998.6,25,False
75,2026-03-06,9135.0,9388.9,8880.0,9199.0,415,False
76,2026-03-05,9399.0,9399.0,9101.0,9134.12,106,False
77,2026-03-04,9489.9,9489.9,9111.1,9196.97,14,False
78,2026-03-03,8999.99,9499.0,8601.0,9078.66,290,False
79,2026-03-02,9021.0,9300.0,8650.11,8888.9,298,False
80,2026-02-27,9735.0,9735.0,9471.0,9500.0,68,False
81,2026-02-26,9750.0,9750.0,9300.0,9500.0,53,False
82,2026-02-25,9565.0,9619.0,9300.11,9411.36,193,False
83,2026-02-24,9750.0,9790.0,9400.11,9410.93,212,False
84,2026-02-23,9450.0,9998.0,9450.0,9629.16,81,False
85,2026-02-20,9299.0,9998.99,9299.0,9728.41,80,False
86,2026-02-19,9989.99,9990.0,9775.02,9804.46,70,False
