date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,65.5,66.7,65.0,65.86,16807,False
1,2026-06-30,65.93,67.38,63.05,65.52,19511,False
2,2026-06-29,66.01,66.6,65.9,65.93,8000,False
3,2026-06-24,66.1,67.49,65.75,66.45,39758,False
4,2026-06-23,68.0,68.0,66.0,67.31,1537,False
5,2026-06-22,67.0,67.0,65.05,66.4,13177,False
6,2026-06-19,67.99,68.0,65.4,66.43,15390,False
7,2026-06-18,69.5,69.5,65.5,66.71,13244,False
8,2026-06-17,67.75,72.0,66.5,66.78,31668,False
9,2026-06-16,66.9,67.99,65.35,66.96,21714,False
10,2026-06-15,65.18,67.0,64.0,65.13,23177,False
11,2026-06-12,67.74,67.74,60.1,65.18,12954,False
12,2026-06-11,65.01,66.0,65.01,65.4,2822,False
13,2026-06-10,65.99,66.5,64.25,65.7,9930,False
14,2026-06-09,65.99,66.0,65.02,65.99,9426,False
15,2026-06-08,65.25,66.5,64.0,64.99,14060,False
16,2026-06-05,66.94,67.8,65.5,66.99,47936,False
17,2026-06-04,68.0,68.0,66.51,66.94,56419,False
18,2026-06-03,69.0,69.0,66.51,67.95,25377,False
19,2026-06-02,63.5,70.05,63.05,68.76,439887,False
20,2026-06-01,64.38,66.5,62.57,64.4,71108,False
21,2026-05-29,63.99,68.0,63.13,64.38,125380,False
22,2026-05-25,66.0,66.0,63.5,65.1,33630,False
23,2026-05-22,65.98,65.98,62.42,64.83,72831,False
24,2026-05-21,59.49,64.31,59.49,64.06,247379,False
25,2026-05-20,60.0,60.0,58.02,58.46,9084,False
26,2026-05-19,58.0,59.0,58.0,58.9,9823,False
27,2026-05-18,58.4,59.0,57.98,58.1,32391,False
28,2026-05-15,57.11,58.75,57.11,57.98,13057,False
29,2026-05-14,57.98,58.8,57.1,57.7,7649,False
30,2026-05-13,58.0,58.27,56.93,57.53,59995,False
31,2026-05-12,58.95,58.95,57.02,58.03,5262,False
32,2026-05-11,58.0,59.2,57.02,58.03,136118,False
33,2026-05-08,58.6,58.6,56.01,58.05,9715,False
34,2026-05-07,58.0,58.95,57.32,58.6,19386,False
35,2026-05-06,57.5,57.65,55.75,57.26,71077,False
36,2026-05-05,58.2,58.2,56.0,56.02,54090,False
37,2026-05-04,57.0,58.99,57.0,57.32,46246,False
38,2026-04-30,57.56,57.56,55.7,56.15,66756,False
39,2026-04-29,59.5,61.95,57.5,57.56,104885,False
40,2026-04-28,61.0,61.1,60.0,60.01,52781,False
41,2026-04-27,61.99,63.0,60.93,60.99,25622,False
42,2026-04-24,60.5,61.62,59.0,61.52,16943,False
43,2026-04-23,62.02,62.95,61.0,61.06,50838,False
44,2026-04-22,63.47,63.99,60.1,62.02,34377,False
45,2026-04-21,63.55,64.0,63.02,63.47,47692,False
46,2026-04-20,64.9,65.0,60.02,62.79,157281,False
47,2026-04-17,64.01,66.0,63.0,64.9,160560,False
48,2026-04-16,63.27,65.0,62.01,64.47,83534,False
49,2026-04-15,63.0,64.0,61.2,63.27,267513,False
50,2026-04-14,62.99,62.99,60.2,61.08,52551,False
51,2026-04-13,58.12,64.0,58.12,61.49,55121,False
52,2026-04-10,60.86,65.0,60.86,63.13,32694,False
53,2026-04-09,60.0,63.0,58.17,60.86,342938,False
54,2026-04-08,57.3,62.4,57.3,60.37,255243,False
55,2026-04-07,57.0,57.0,55.5,56.75,36111,False
56,2026-04-06,54.03,56.5,53.5,56.39,131361,False
57,2026-04-03,52.7,57.0,52.51,54.03,217892,False
