date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,94.98,95.5,94.0,94.58,1983501,False
1,2026-06-30,95.2,95.2,94.0,94.54,1157935,False
2,2026-06-29,95.15,96.6,93.6,94.05,3858739,False
3,2026-06-24,93.99,96.0,93.49,95.49,4839610,False
4,2026-06-23,94.0,94.6,93.0,93.32,1650831,False
5,2026-06-22,95.02,95.88,93.26,93.58,3392370,False
6,2026-06-19,95.92,97.02,93.8,94.4,3206111,False
7,2026-06-18,96.99,97.78,95.7,95.92,3201832,False
8,2026-06-17,98.5,98.75,95.9,96.31,4520994,False
9,2026-06-16,95.6,98.8,94.5,98.0,10994712,False
10,2026-06-15,94.05,95.34,92.88,94.28,7356748,False
11,2026-06-12,91.26,92.5,90.71,91.38,2142413,False
12,2026-06-11,89.5,91.4,89.1,90.46,1238662,False
13,2026-06-10,90.3,91.3,89.51,90.09,1513440,False
14,2026-06-09,91.85,91.85,90.31,90.51,1327937,False
15,2026-06-08,90.51,90.51,88.82,89.6,2011638,False
16,2026-06-05,91.4,92.23,90.53,90.93,2609234,False
17,2026-06-04,90.13,91.75,90.01,90.93,2278668,False
18,2026-06-03,88.75,92.5,88.75,90.13,5625842,False
19,2026-06-02,88.7,91.15,88.7,89.88,1998865,False
20,2026-06-01,90.5,90.5,88.41,88.71,1471416,False
21,2026-05-29,90.95,90.97,89.51,89.94,1967986,False
22,2026-05-25,90.25,91.95,89.66,90.31,1873760,False
23,2026-05-22,89.74,90.0,87.6,88.16,1798649,False
24,2026-05-21,88.6,90.25,87.9,89.03,4266950,False
25,2026-05-20,86.4,87.47,85.2,87.1,1727628,False
26,2026-05-19,85.0,86.15,84.85,85.69,1147790,False
27,2026-05-18,86.15,87.08,83.63,84.12,1649284,False
28,2026-05-15,87.7,88.4,86.51,88.03,1179458,False
29,2026-05-14,88.15,88.95,87.5,87.73,866525,False
30,2026-05-13,89.5,90.32,87.63,87.87,1596216,False
31,2026-05-12,92.75,92.95,89.0,89.39,3059335,False
32,2026-05-11,92.07,93.0,90.85,91.44,4198468,False
33,2026-05-08,93.65,95.91,93.05,93.42,6618109,False
