date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,512.0,512.99,500.0,504.28,17447,False
1,2026-06-30,508.25,513.0,504.0,505.49,260027,False
2,2026-06-29,527.0,529.0,501.2,510.86,23578,False
3,2026-06-24,510.05,528.99,510.05,520.98,28198,False
4,2026-06-23,519.8,527.99,509.0,510.04,35244,False
5,2026-06-22,531.0,531.0,518.0,519.84,31743,False
6,2026-06-19,530.0,535.0,510.05,531.68,18456,False
7,2026-06-18,549.95,554.0,501.0,525.59,34392,False
8,2026-06-17,497.96,546.0,497.96,541.06,74731,False
9,2026-06-16,491.84,500.0,485.01,497.96,21033,False
10,2026-06-15,482.0,499.0,482.0,491.84,36614,False
11,2026-06-12,481.05,487.95,477.0,481.15,13076,False
12,2026-06-11,482.94,482.94,470.0,475.79,22790,False
13,2026-06-10,467.3,476.88,467.3,470.39,5520,False
14,2026-06-09,483.3,483.3,468.01,478.66,6454,False
15,2026-06-08,473.02,476.76,463.01,472.93,6563,False
16,2026-06-05,474.0,476.75,470.0,473.02,4186,False
17,2026-06-04,477.94,488.0,467.0,473.49,7915,False
18,2026-06-03,479.99,485.0,466.11,470.36,72623,False
19,2026-06-02,480.0,484.8,462.66,473.78,46425,False
20,2026-06-01,488.95,488.95,472.0,474.8,12848,False
21,2026-05-29,478.0,485.0,456.65,482.32,6076,False
22,2026-05-25,491.98,491.98,472.01,476.27,16669,False
23,2026-05-22,474.05,489.0,471.0,484.99,1950,False
24,2026-05-21,489.99,489.99,471.05,481.29,4181,False
25,2026-05-20,474.99,475.01,466.0,470.01,4107,False
26,2026-05-19,495.99,495.99,465.0,469.46,26506,False
27,2026-05-18,478.0,490.0,478.0,480.77,3289,False
28,2026-05-15,499.99,499.99,480.08,485.13,7015,False
29,2026-05-14,490.11,491.26,488.01,490.01,2638,False
30,2026-05-13,489.0,494.94,488.47,490.35,1983,False
31,2026-05-12,493.0,495.95,488.0,488.46,3476,False
32,2026-05-11,493.99,493.99,485.12,493.74,2234,False
33,2026-05-08,482.0,495.0,471.0,490.18,4450,False
34,2026-05-07,493.0,498.0,476.01,486.67,24423,False
35,2026-05-06,485.0,499.99,480.0,492.53,14767,False
36,2026-05-05,481.99,481.99,473.01,478.92,861,False
37,2026-05-04,470.01,486.0,470.01,483.17,17388,False
38,2026-04-30,488.0,488.0,470.0,474.72,4944,False
39,2026-04-29,485.01,485.01,475.01,478.57,16052,False
40,2026-04-28,499.0,499.0,478.11,482.11,30380,False
41,2026-04-27,490.25,504.0,489.0,489.29,16968,False
42,2026-04-24,502.0,502.0,471.55,489.64,19618,False
43,2026-04-23,506.0,506.0,495.0,496.34,14526,False
44,2026-04-22,501.99,509.99,501.0,503.57,2608,False
45,2026-04-21,513.07,519.95,501.01,505.0,6849,False
46,2026-04-20,514.99,515.0,490.0,513.07,23130,False
47,2026-04-17,492.99,525.0,492.99,515.5,111181,False
48,2026-04-16,491.1,508.8,491.04,494.2,14221,False
49,2026-04-15,489.99,500.0,482.5,494.23,99834,False
50,2026-04-14,477.11,492.75,477.11,483.29,100481,False
51,2026-04-13,465.0,488.0,465.0,476.43,11938,False
52,2026-04-10,495.0,500.01,486.0,490.47,112248,False
53,2026-04-09,470.0,498.99,470.0,493.32,36673,False
54,2026-04-08,472.0,495.0,465.05,491.98,107613,False
55,2026-04-07,455.95,455.95,445.11,450.0,2774,False
56,2026-04-06,452.95,454.0,445.01,449.99,7997,False
57,2026-04-03,457.99,457.99,431.0,440.31,3959,False
58,2026-04-02,449.95,449.95,437.0,440.32,3825,False
59,2026-04-01,449.99,458.0,440.0,448.91,32347,False
60,2026-03-31,440.0,440.0,435.0,439.72,2494,False
61,2026-03-30,450.0,450.0,426.0,433.55,20547,False
62,2026-03-27,442.01,464.9,442.01,450.79,4645,False
63,2026-03-26,470.98,470.98,451.51,466.24,2088,False
64,2026-03-25,478.99,478.99,465.0,470.98,4496,False
65,2026-03-24,479.99,479.99,455.0,464.59,3613,False
66,2026-03-19,480.0,480.0,451.1,466.3,32319,False
67,2026-03-18,479.7,479.99,470.0,478.88,65340,False
68,2026-03-17,489.0,489.0,473.15,474.18,4957,False
69,2026-03-16,479.99,479.99,470.9,471.41,933,False
70,2026-03-13,480.0,485.0,470.0,470.9,3552,False
71,2026-03-12,483.0,487.0,471.0,486.92,5826,False
72,2026-03-11,487.0,487.0,473.0,479.93,5864,False
73,2026-03-10,460.0,480.0,460.0,470.0,16407,False
74,2026-03-09,471.25,471.25,424.13,446.96,16423,False
75,2026-03-06,485.0,493.5,465.05,471.25,41842,False
76,2026-03-05,485.0,493.0,475.0,480.2,40299,False
77,2026-03-04,475.3,500.0,470.0,476.61,5776,False
78,2026-03-03,477.0,499.0,457.0,475.18,11198,False
79,2026-03-02,491.01,530.0,477.14,477.97,29921,False
80,2026-02-27,550.04,550.04,525.1,530.15,2400,False
81,2026-02-26,538.0,538.0,517.0,530.04,15734,False
82,2026-02-25,539.95,539.95,520.0,523.32,4561,False
83,2026-02-24,549.0,549.0,505.0,524.78,9129,False
84,2026-02-23,530.0,539.0,530.0,530.06,6995,False
85,2026-02-20,530.0,540.0,515.0,530.17,3044,False
86,2026-02-19,535.0,536.0,516.16,521.36,3850,False
87,2026-02-18,535.0,543.0,520.56,540.09,6001,False
88,2026-02-17,550.11,560.99,530.0,532.09,42110,False
89,2026-02-16,563.66,564.01,550.0,550.11,5015,False
90,2026-02-13,560.0,573.9,553.01,563.66,4532,False
91,2026-02-12,573.91,574.0,560.0,569.0,6649,False
92,2026-02-11,567.88,575.0,560.0,573.91,4194,False
93,2026-02-10,577.99,577.99,565.0,567.88,18174,False
94,2026-02-09,575.0,577.99,565.0,574.97,4743,False
95,2026-02-06,582.8,582.8,564.0,565.79,21972,False
96,2026-02-04,566.0,584.99,566.0,582.8,7810,False
97,2026-02-03,587.81,587.81,572.01,580.0,3293,False
98,2026-02-02,582.82,582.82,570.0,571.31,8839,False
99,2026-01-30,585.0,585.99,562.05,582.82,1994,False
100,2026-01-29,594.0,600.0,555.55,578.96,13271,False
101,2026-01-28,590.99,596.5,590.0,594.95,14029,False
102,2026-01-27,600.0,608.0,596.38,596.96,76781,False
103,2026-01-26,600.0,604.0,590.0,602.4,4336,False
104,2026-01-23,597.25,605.99,592.0,599.28,2807,False
105,2026-01-22,615.0,615.0,594.01,597.25,3738,False
106,2026-01-21,600.0,615.28,585.0,600.18,36563,False
107,2026-01-20,581.0,607.0,581.0,603.5,57068,False
108,2026-01-19,561.98,590.0,549.0,583.57,59721,False
109,2026-01-16,555.0,572.0,545.21,561.98,219047,False
110,2026-01-15,550.5,554.95,549.0,550.02,5694,False
111,2026-01-14,563.03,580.0,542.0,548.47,10679,False
112,2026-01-13,577.0,577.0,555.0,564.78,6787,False
113,2026-01-12,560.36,579.0,560.36,570.42,5576,False
114,2026-01-09,579.0,579.01,565.0,571.14,20825,False
115,2026-01-08,540.0,580.0,540.0,569.99,105387,False
116,2026-01-07,535.0,545.0,520.0,533.78,12462,False
117,2026-01-06,544.8,547.95,530.0,537.04,8476,False
118,2026-01-05,536.0,549.0,536.0,544.8,21348,False
119,2026-01-02,532.9,540.0,525.0,534.8,71234,False
120,2026-01-01,511.63,541.41,507.0,539.9,40414,False
121,2025-12-31,515.13,515.13,507.65,511.69,2482,False
122,2025-12-30,505.05,518.0,505.04,515.13,3675,False
123,2025-12-29,509.99,515.0,502.0,511.71,18211,False
124,2025-12-26,504.9,512.0,500.0,505.97,7980,False
125,2025-12-24,505.99,508.69,501.0,504.95,14112,False
126,2025-12-23,509.89,509.89,500.02,504.6,3618,False
127,2025-12-22,511.9,511.9,504.0,505.02,19282,False
128,2025-12-19,510.0,514.0,505.0,507.37,23718,False
129,2025-12-18,512.0,525.0,508.0,509.44,17108,False
130,2025-12-17,518.99,520.0,505.0,512.29,93077,False
131,2025-12-16,525.0,525.0,511.25,516.31,10071,False
132,2025-12-15,516.1,519.99,510.0,517.67,12835,False
133,2025-12-12,522.0,529.95,515.0,515.0,24362,False
134,2025-12-11,524.0,529.95,520.0,521.41,5569,False
135,2025-12-10,534.98,534.98,521.0,523.39,5556,False
136,2025-12-09,535.0,539.8,520.0,528.88,4357,False
137,2025-12-08,527.91,542.0,525.0,531.65,81587,False
138,2025-12-05,512.0,533.3,512.0,527.91,156755,False
139,2025-12-04,511.05,514.0,500.0,511.0,6548,False
140,2025-12-03,510.01,515.21,507.0,510.58,1842,False
141,2025-12-02,515.5,515.5,509.09,515.21,18888,False
142,2025-12-01,519.95,520.95,506.05,517.64,5588,False
143,2025-11-28,502.61,522.0,502.61,519.97,26445,False
144,2025-11-27,510.0,510.0,499.99,503.95,17705,False
145,2025-11-26,507.0,509.0,495.0,506.85,37475,False
146,2025-11-25,511.0,515.0,505.0,505.01,24497,False
147,2025-11-24,508.01,515.0,501.01,511.87,3374,False
148,2025-11-21,519.95,520.0,502.0,505.3,27419,False
149,2025-11-20,521.99,521.99,516.0,518.74,18,False
150,2025-11-19,524.0,524.0,515.0,518.74,16499,False
151,2025-11-18,513.0,527.0,513.0,521.0,65002,False
152,2025-11-17,503.0,522.0,500.0,512.79,64771,False
153,2025-11-14,508.75,508.75,499.0,503.63,918,False
154,2025-11-13,509.5,509.99,500.0,500.96,3148,False
155,2025-11-12,490.71,505.0,490.71,504.96,205653,False
156,2025-11-11,501.16,512.0,465.2,490.69,44419,False
157,2025-11-10,518.0,518.88,505.0,509.99,1044,False
158,2025-11-07,502.5,513.0,501.04,511.01,4141,False
159,2025-11-06,502.17,512.0,502.17,509.9,4545,False
160,2025-11-05,505.1,514.0,499.0,507.9,14000,False
161,2025-11-04,511.87,535.0,505.0,508.24,11672,False
162,2025-11-03,528.0,528.0,501.11,511.86,107950,False
163,2025-10-31,517.95,524.0,506.2,521.61,8503,False
164,2025-10-30,523.95,523.95,502.25,505.45,7141,False
165,2025-10-29,539.99,539.99,501.0,508.97,9492,False
166,2025-10-28,551.99,551.99,505.15,526.64,10301,False
167,2025-10-27,554.99,555.0,516.55,546.29,6462,False
168,2025-10-24,540.0,554.9,540.0,551.65,54560,False
169,2025-10-23,548.1,555.0,538.0,549.9,50634,False
170,2025-10-22,552.0,555.0,549.9,549.95,17833,False
171,2025-10-21,548.0,552.0,540.0,548.51,16210,False
172,2025-10-20,540.0,545.0,528.0,540.02,8812,False
173,2025-10-17,526.01,548.99,526.01,539.53,1668,False
174,2025-10-16,538.99,549.0,534.0,535.0,2040,False
175,2025-10-15,539.0,540.0,530.0,539.9,18845,False
176,2025-10-14,545.01,545.01,520.0,540.07,5903,False
177,2025-10-13,540.0,540.0,522.0,525.17,23128,False
178,2025-10-10,555.93,555.93,545.0,545.0,60838,False
179,2025-10-09,550.98,550.98,542.0,549.27,33018,False
180,2025-10-08,551.95,551.95,541.0,549.02,24198,False
181,2025-10-07,549.95,550.1,535.0,548.44,60370,False
182,2025-10-06,502.2,540.0,502.2,539.27,22515,False
183,2025-10-03,543.98,545.0,515.0,533.06,26559,False
184,2025-10-02,543.95,548.0,540.0,543.98,20823,False
185,2025-10-01,547.0,550.0,536.55,543.98,3711,False
186,2025-09-30,542.0,547.0,536.0,543.89,2186,False
187,2025-09-29,548.5,548.5,530.2,542.12,19898,False
188,2025-09-26,528.0,550.0,528.0,547.12,44832,False
189,2025-09-25,515.0,535.0,500.0,531.7,258363,False
190,2025-09-24,530.0,530.0,515.0,515.86,32456,False
191,2025-09-23,530.35,537.0,520.0,525.2,22825,False
192,2025-09-22,530.0,538.0,530.0,530.35,40663,False
193,2025-09-19,538.0,539.99,511.0,528.49,21035,False
194,2025-09-18,538.0,539.9,535.0,538.62,6482,False
195,2025-09-17,540.0,540.0,535.4,539.9,7408,False
196,2025-09-16,547.0,547.0,540.0,540.21,10103,False
197,2025-09-15,545.0,560.0,544.12,545.0,10016,False
198,2025-09-12,554.99,565.0,546.02,549.91,7209,False
199,2025-09-11,557.5,557.99,550.0,550.23,5184,False
200,2025-09-10,556.5,556.5,550.0,552.39,8471,False
201,2025-09-09,559.99,559.99,549.99,556.5,27980,False
202,2025-09-08,548.0,570.0,540.0,553.46,39302,False
203,2025-09-05,570.0,573.0,565.0,569.58,3805,False
204,2025-09-04,570.0,573.99,565.0,568.65,3247,False
205,2025-09-03,600.0,600.0,517.51,569.38,21951,False
206,2025-09-02,579.95,579.95,571.5,575.01,13574,False
207,2025-09-01,580.0,580.0,570.0,575.19,6466,False
208,2025-08-29,582.0,582.0,561.06,580.74,2223,False
209,2025-08-28,577.0,582.0,577.0,581.53,7382,False
210,2025-08-27,570.33,579.0,570.0,576.96,11531,False
211,2025-08-26,575.0,581.0,569.01,570.33,17897,False
212,2025-08-25,584.0,589.97,570.0,571.1,8339,False
213,2025-08-22,614.99,614.99,580.0,583.98,7924,False
214,2025-08-21,599.9,601.0,585.0,590.47,23834,False
215,2025-08-20,573.99,600.0,568.0,595.9,82803,False
216,2025-08-19,575.0,575.07,567.0,570.64,44987,False
217,2025-08-18,572.0,574.0,560.0,571.43,27908,False
218,2025-08-15,564.95,564.95,555.13,560.55,4859,False
219,2025-08-13,570.0,570.0,557.0,562.69,142131,False
220,2025-08-12,560.0,575.0,559.0,567.41,23229,False
221,2025-08-11,547.01,568.39,535.0,558.83,12617,False
222,2025-08-08,555.0,560.0,543.5,551.89,1723,False
223,2025-08-07,555.0,556.0,545.25,550.18,8287,False
224,2025-08-06,555.0,558.0,547.0,556.53,167811,False
225,2025-08-05,550.0,554.99,542.0,552.16,20576,False
226,2025-08-04,540.0,550.0,530.0,547.57,15973,False
227,2025-08-01,545.0,554.95,525.0,530.53,12357,False
228,2025-07-31,532.3,543.95,522.25,533.79,14276,False
229,2025-07-30,543.95,543.95,525.0,534.46,9918,False
230,2025-07-29,544.0,544.0,533.0,540.01,13680,False
231,2025-07-28,560.0,560.0,516.11,543.73,35748,False
232,2025-07-25,555.01,569.5,550.0,550.77,28384,False
233,2025-07-24,569.95,569.95,560.0,560.23,35226,False
234,2025-07-23,572.0,572.0,546.65,563.86,43490,False
235,2025-07-22,559.95,563.0,546.0,553.28,88100,False
236,2025-07-21,545.45,551.95,536.1,550.53,32869,False
237,2025-07-18,531.01,571.0,531.01,545.45,21176,False
238,2025-07-17,554.95,561.0,549.0,554.4,36232,False
239,2025-07-16,530.02,554.0,530.02,549.09,18939,False
240,2025-07-15,559.5,566.95,545.0,549.25,84732,False
241,2025-07-14,577.0,580.95,556.0,559.21,23399,False
242,2025-07-11,572.0,572.0,559.0,566.2,76615,False
243,2025-07-10,580.0,582.0,566.0,570.97,34033,False
244,2025-07-09,567.95,585.0,561.0,576.35,83713,False
245,2025-07-08,542.02,570.25,542.02,560.03,67091,False
246,2025-07-07,519.0,545.0,500.0,534.84,169311,False
247,2025-07-04,517.21,521.5,502.0,508.48,40777,False
248,2025-07-03,490.0,524.7,490.0,514.54,123214,False
249,2025-07-02,479.95,500.0,475.0,490.45,23175,False
250,2025-07-01,474.95,476.0,472.0,475.0,4193,False
251,2025-06-30,471.5,479.0,461.0,475.13,54603,False
252,2025-06-27,467.97,475.0,460.01,469.0,13512,False
253,2025-06-26,465.0,469.0,455.0,460.62,28360,False
254,2025-06-25,468.5,468.5,457.0,463.82,5253,False
255,2025-06-24,462.0,479.99,450.0,463.49,13257,False
256,2025-06-23,451.0,451.0,438.0,438.97,11985,False
257,2025-06-20,455.01,456.99,446.0,451.23,7490,False
258,2025-06-19,475.0,475.0,451.5,452.89,21364,False
259,2025-06-18,476.99,476.99,455.1,462.25,26584,False
260,2025-06-17,494.96,494.96,470.0,477.47,23031,False
261,2025-06-16,475.0,490.0,475.0,485.84,16345,False
262,2025-06-13,493.0,498.0,480.0,486.58,32012,False
263,2025-06-12,500.0,510.0,488.26,500.35,156493,False
264,2025-06-11,475.01,499.0,470.0,494.32,97564,False
265,2025-06-10,495.0,495.0,460.0,469.8,9079,False
266,2025-06-05,465.0,475.0,455.01,466.15,81368,False
267,2025-06-04,466.5,468.0,457.0,466.79,75759,False
268,2025-06-03,449.0,465.0,445.0,457.17,57710,False
269,2025-06-02,440.0,455.0,440.0,449.5,52134,False
270,2025-05-30,448.75,448.75,421.05,443.12,8515,False
