date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,121.51,122.0,118.66,119.63,2057120,False
1,2026-06-30,119.73,121.59,117.56,120.93,4114084,False
2,2026-06-29,124.0,124.0,118.05,118.6,3973910,False
3,2026-06-24,126.4,126.4,122.0,123.17,5949478,False
4,2026-06-23,124.5,127.85,124.5,125.66,10277631,False
5,2026-06-22,118.8,123.89,118.3,122.86,11474928,False
6,2026-06-19,114.0,122.3,113.5,116.84,22073722,False
7,2026-06-18,115.99,116.38,113.39,113.95,2847813,False
8,2026-06-17,114.99,118.88,114.3,115.16,10853153,False
9,2026-06-16,104.11,112.94,104.11,112.94,15280847,False
10,2026-06-15,102.4,102.99,100.72,102.67,1837345,False
11,2026-06-12,100.4,102.0,99.31,100.42,1341303,False
12,2026-06-11,99.0,99.6,98.61,99.09,1200791,False
13,2026-06-10,99.22,102.14,99.22,100.08,1189237,False
14,2026-06-09,98.87,101.4,98.52,100.96,2994902,False
15,2026-06-08,97.89,99.0,97.01,97.55,899452,False
16,2026-06-05,99.8,101.75,98.4,98.83,1521421,False
17,2026-06-04,98.91,99.87,98.85,99.61,612965,False
18,2026-06-03,98.36,99.5,98.01,99.18,1410566,False
19,2026-06-02,98.3,99.89,98.14,99.36,1160911,False
20,2026-06-01,101.85,101.85,97.5,98.17,1258864,False
21,2026-05-29,102.25,103.0,101.03,101.85,1584976,False
22,2026-05-25,102.49,102.75,100.7,102.04,1832112,False
23,2026-05-22,101.99,102.0,98.51,100.65,1418587,False
24,2026-05-21,100.5,102.9,100.05,101.32,3388469,False
25,2026-05-20,99.5,100.25,98.75,99.54,2458108,False
26,2026-05-19,97.97,99.48,97.5,99.23,3204891,False
27,2026-05-18,96.74,97.7,95.5,97.26,4047265,False
28,2026-05-15,96.8,97.65,95.68,96.75,2173926,False
29,2026-05-14,96.5,97.7,95.83,96.06,717442,False
30,2026-05-13,97.09,97.99,95.3,95.91,1049837,False
31,2026-05-12,98.9,99.4,96.51,97.09,1366721,False
32,2026-05-11,99.1,99.94,97.7,98.86,1995175,False
33,2026-05-08,100.01,101.5,98.8,99.63,2591493,False
34,2026-05-07,102.98,103.5,100.1,101.43,2971176,False
35,2026-05-06,99.15,103.4,98.4,102.15,7668989,False
36,2026-05-05,97.0,98.4,95.7,97.37,2728444,False
37,2026-05-04,97.11,100.9,97.0,97.59,5406453,False
38,2026-04-30,98.0,98.0,94.3,95.46,2461495,False
39,2026-04-29,98.56,101.0,97.5,99.28,6595671,False
40,2026-04-28,99.32,101.85,98.01,99.08,2229481,False
41,2026-04-27,101.1,102.8,99.52,100.92,1687005,False
42,2026-04-24,100.0,102.2,98.26,101.37,4554755,False
43,2026-04-23,103.06,103.95,100.0,100.61,1471434,False
44,2026-04-22,105.55,106.0,103.76,104.17,1101487,False
45,2026-04-21,106.5,107.46,104.12,105.55,3352220,False
46,2026-04-20,105.02,108.0,102.12,105.23,3489474,False
47,2026-04-17,105.79,108.0,104.81,107.26,4271575,False
48,2026-04-16,106.85,106.85,103.8,104.79,2970332,False
49,2026-04-15,103.05,108.74,103.05,105.05,9714811,False
50,2026-04-14,100.03,102.0,100.0,101.69,2961835,False
51,2026-04-13,95.25,99.85,95.25,99.03,5942879,False
52,2026-04-10,97.51,103.9,97.51,102.04,8009165,False
53,2026-04-09,96.9,99.98,94.5,98.03,5065172,False
54,2026-04-08,97.0,97.37,94.0,97.37,4287370,False
55,2026-04-07,88.15,89.34,87.19,88.52,2908583,False
56,2026-04-06,88.93,89.4,86.53,88.66,2554126,False
57,2026-04-03,86.89,90.01,86.36,88.17,1988416,False
58,2026-04-02,89.48,89.95,86.0,88.76,1197036,False
59,2026-04-01,90.0,94.5,90.0,91.79,7406565,False
60,2026-03-31,89.25,91.47,88.2,88.61,2051780,False
61,2026-03-30,90.0,91.2,83.2,89.24,8979922,False
62,2026-03-27,91.45,92.19,88.52,90.06,4931379,False
63,2026-03-26,93.9,93.9,89.0,90.35,1681996,False
64,2026-03-25,91.1,94.7,91.1,94.2,2665242,False
65,2026-03-24,95.17,95.49,89.6,90.7,1849050,False
66,2026-03-19,91.5,93.5,90.02,92.4,1464739,False
67,2026-03-18,92.0,94.44,91.01,92.68,1766052,False
68,2026-03-17,90.0,91.84,89.4,91.33,1754657,False
69,2026-03-16,92.3,92.8,88.0,89.29,1083830,False
70,2026-03-13,92.0,93.5,90.5,92.36,718695,False
71,2026-03-12,93.29,96.0,90.5,92.81,1186907,False
72,2026-03-11,94.11,98.49,92.5,93.29,1794615,False
73,2026-03-10,97.99,99.46,95.26,96.06,2517554,False
74,2026-03-09,86.3,94.5,86.3,90.42,9164102,False
75,2026-03-06,99.7,99.71,95.21,95.89,1817375,False
76,2026-03-05,92.5,100.9,92.5,99.73,3781069,False
77,2026-03-04,90.16,93.0,89.03,92.33,3958793,False
78,2026-03-03,90.0,92.4,85.59,90.15,3151664,False
79,2026-03-02,89.15,93.5,89.15,89.15,4817606,False
80,2026-02-27,97.0,101.48,93.53,99.05,1675040,False
81,2026-02-26,92.4,100.47,90.1,99.15,3440659,False
82,2026-02-25,95.1,96.99,90.76,91.5,1521243,False
83,2026-02-24,96.0,97.88,90.01,94.58,3573498,False
84,2026-02-23,102.0,103.5,94.5,95.77,1879857,False
85,2026-02-20,101.89,103.49,97.0,102.09,1749390,False
86,2026-02-19,106.9,107.25,98.98,100.26,2444314,False
87,2026-02-18,100.98,107.0,100.98,106.45,11385625,False
88,2026-02-17,98.0,101.79,94.6,99.97,14015257,False
89,2026-02-16,106.11,106.5,97.32,98.18,4348344,False
90,2026-02-13,110.05,110.5,106.9,107.37,2867532,False
91,2026-02-12,112.01,112.4,106.07,110.03,1039079,False
92,2026-02-11,112.24,112.79,111.51,111.98,355516,False
93,2026-02-10,113.87,113.87,111.6,112.24,710395,False
94,2026-02-09,111.52,113.64,110.38,112.14,1427089,False
95,2026-02-06,112.98,112.98,110.5,111.19,1407053,False
96,2026-02-04,112.62,113.24,111.5,112.04,2556756,False
97,2026-02-03,114.88,115.74,111.02,112.44,3541415,False
98,2026-02-02,115.75,116.29,113.71,114.38,1083835,False
99,2026-01-30,114.11,116.3,113.5,115.75,1823510,False
100,2026-01-29,116.47,116.47,112.7,114.1,1642876,False
101,2026-01-28,116.0,116.98,114.77,115.85,1673612,False
102,2026-01-27,117.0,117.48,115.18,115.53,1835705,False
103,2026-01-26,118.5,118.99,116.25,116.68,1272461,False
104,2026-01-23,119.7,119.95,117.9,118.05,817345,False
105,2026-01-22,119.2,121.0,118.95,119.14,1017400,False
106,2026-01-21,120.0,121.61,118.58,119.36,1937354,False
107,2026-01-20,120.0,121.1,119.4,119.99,1295921,False
108,2026-01-19,119.99,121.3,119.0,119.7,1679142,False
109,2026-01-16,117.99,120.75,117.9,119.73,2980801,False
110,2026-01-15,117.6,119.44,115.75,117.44,2468687,False
111,2026-01-14,120.5,121.55,117.0,117.41,1896016,False
112,2026-01-13,118.87,121.25,118.1,120.69,1590752,False
113,2026-01-12,122.4,122.5,118.5,118.87,2859366,False
114,2026-01-09,123.49,124.46,120.01,121.56,3181114,False
115,2026-01-08,124.0,128.0,123.11,123.93,7725861,False
116,2026-01-07,122.2,124.5,122.2,123.77,3918530,False
117,2026-01-06,122.94,124.5,121.05,122.79,6293347,False
118,2026-01-05,119.53,123.45,119.53,122.39,5927162,False
119,2026-01-02,119.81,122.23,118.9,119.38,4208225,False
120,2026-01-01,119.9,121.3,119.5,119.77,1981922,False
121,2025-12-31,120.0,121.5,119.0,119.52,3698056,False
122,2025-12-30,117.51,120.2,117.51,119.85,2993222,False
123,2025-12-29,118.15,118.99,117.25,117.67,1926986,False
124,2025-12-26,117.89,118.0,116.06,117.6,1915243,False
125,2025-12-24,116.71,116.98,116.0,116.21,783490,False
126,2025-12-23,117.4,117.85,116.0,116.38,656043,False
127,2025-12-22,118.51,118.84,116.95,117.08,1185075,False
128,2025-12-19,119.03,120.35,118.3,118.53,1382328,False
129,2025-12-18,120.49,120.66,118.4,118.98,1861507,False
130,2025-12-17,121.75,122.2,118.9,120.2,2595307,False
131,2025-12-16,124.0,125.17,120.79,121.47,3601617,False
132,2025-12-15,122.05,124.95,121.05,123.88,5754826,False
133,2025-12-12,118.74,120.98,117.3,120.09,4871096,False
134,2025-12-11,117.95,119.5,116.3,118.05,4013528,False
135,2025-12-10,118.5,118.79,116.7,117.4,2518824,False
136,2025-12-09,117.99,118.2,116.44,117.67,2695679,False
137,2025-12-08,117.0,117.32,116.3,116.66,1354571,False
138,2025-12-05,118.0,118.8,116.3,116.48,1358782,False
139,2025-12-04,116.75,117.4,116.0,116.83,1726613,False
140,2025-12-03,118.6,118.65,116.5,116.78,3241390,False
141,2025-12-02,119.5,120.14,118.01,118.46,1762116,False
142,2025-12-01,119.01,120.4,119.0,119.39,1740899,False
143,2025-11-28,120.89,122.4,119.29,119.7,4380690,False
144,2025-11-27,117.96,121.88,117.04,120.13,8835358,False
145,2025-11-26,116.35,118.0,115.1,117.62,1314859,False
146,2025-11-25,117.95,118.0,115.32,115.79,686398,False
147,2025-11-24,117.09,118.0,116.0,116.64,704369,False
148,2025-11-21,118.77,118.98,116.8,117.08,849016,False
149,2025-11-20,117.5,118.81,115.9,118.18,1881452,False
150,2025-11-19,118.0,118.29,115.95,117.11,2307487,False
151,2025-11-18,120.97,122.2,119.86,120.83,3035258,False
152,2025-11-17,117.5,121.5,117.5,120.32,5262589,False
153,2025-11-14,116.65,118.5,116.5,116.7,3999013,False
154,2025-11-13,116.0,118.0,115.56,116.2,1718247,False
155,2025-11-12,116.7,117.88,113.9,115.44,2656014,False
156,2025-11-11,121.43,121.43,115.0,116.42,2513969,False
157,2025-11-10,120.01,121.0,119.0,120.2,1605393,False
158,2025-11-07,118.99,120.25,117.81,118.15,2071561,False
159,2025-11-06,121.9,122.03,117.75,118.43,2582095,False
160,2025-11-05,123.47,123.47,120.52,121.02,1763536,False
161,2025-11-04,121.0,126.7,119.76,122.58,6922404,False
162,2025-11-03,126.0,126.1,119.26,121.06,10443822,False
163,2025-10-31,128.12,131.7,128.12,130.54,3457884,False
164,2025-10-30,129.3,130.39,126.11,127.07,3656443,False
165,2025-10-29,127.7,134.5,127.0,128.43,4670565,False
166,2025-10-28,132.9,133.81,128.22,128.65,1400195,False
167,2025-10-27,136.2,138.9,131.5,132.51,5347143,False
168,2025-10-24,129.56,136.3,129.0,134.57,4811798,False
169,2025-10-23,131.51,133.97,128.01,129.69,1570661,False
170,2025-10-22,129.08,134.69,128.5,132.59,3101610,False
171,2025-10-21,129.9,131.99,128.31,129.08,1088719,False
172,2025-10-20,129.0,129.99,126.5,129.13,1068187,False
173,2025-10-17,130.4,131.85,126.0,126.81,1521453,False
174,2025-10-16,134.0,134.0,128.95,129.67,1281693,False
175,2025-10-15,128.5,138.42,128.5,132.85,9298468,False
176,2025-10-14,124.99,128.48,123.5,127.59,1867914,False
177,2025-10-13,126.0,127.5,120.3,121.19,4260787,False
178,2025-10-10,127.0,130.65,124.0,127.91,4663630,False
179,2025-10-09,129.7,130.48,120.0,127.97,1695810,False
180,2025-10-08,131.0,132.0,128.9,129.27,3555584,False
181,2025-10-07,132.0,134.4,129.94,130.77,2321947,False
182,2025-10-06,136.52,136.52,131.6,133.15,4614247,False
183,2025-10-03,138.5,138.5,136.01,136.52,2434536,False
184,2025-10-02,136.5,137.8,135.06,137.43,2578675,False
185,2025-10-01,137.31,138.0,135.5,136.0,2700947,False
186,2025-09-30,140.5,141.1,137.01,138.17,3865869,False
187,2025-09-29,137.2,141.6,134.5,140.29,5233003,False
188,2025-09-26,136.5,139.2,136.4,137.06,3941428,False
