date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,2321.0,2349.0,2210.11,2344.15,18660,False
1,2026-06-30,2352.0,2352.0,2310.02,2340.76,19776,False
2,2026-06-29,2390.0,2464.0,2325.0,2342.1,116376,False
3,2026-06-24,2215.01,2398.0,2215.01,2357.15,258264,False
4,2026-06-23,2269.0,2284.0,2215.0,2230.47,20122,False
5,2026-06-22,2206.0,2300.0,2206.0,2211.07,16286,False
6,2026-06-19,2300.0,2300.0,2178.0,2204.06,27852,False
7,2026-06-18,2150.0,2329.9,2095.0,2303.9,126565,False
8,2026-06-17,2080.0,2124.0,2061.0,2118.1,13027,False
9,2026-06-16,2139.0,2139.0,2079.02,2101.88,26567,False
10,2026-06-15,2094.0,2114.0,2048.0,2100.02,99547,False
11,2026-06-12,2098.0,2200.0,2000.0,2044.4,6143,False
12,2026-06-11,2009.25,2053.0,2009.25,2041.1,19964,False
13,2026-06-10,2032.0,2055.0,2010.0,2042.24,6782,False
14,2026-06-09,2032.0,2069.99,2000.0,2046.09,2329,False
15,2026-06-08,2069.0,2069.0,2001.0,2040.34,958,False
16,2026-06-05,2089.0,2089.0,2050.0,2050.41,880,False
17,2026-06-04,2051.0,2150.0,2051.0,2060.02,6542,False
18,2026-06-03,2100.0,2100.0,2050.02,2075.33,10985,False
19,2026-06-02,2061.0,2104.0,2060.0,2093.48,12817,False
20,2026-06-01,2100.0,2150.0,2060.0,2091.27,22534,False
21,2026-05-29,2020.0,2100.0,2016.0,2087.17,88688,False
22,2026-05-25,2025.0,2030.0,2000.0,2013.36,16347,False
23,2026-05-22,2057.86,2057.86,2000.0,2008.27,5457,False
24,2026-05-21,1946.01,2075.0,1946.01,2022.39,123736,False
25,2026-05-20,1890.0,2000.0,1860.0,1939.58,50894,False
26,2026-05-19,1838.0,1880.0,1801.0,1853.37,58581,False
27,2026-05-18,1847.0,1860.0,1715.0,1806.49,4154,False
28,2026-05-15,1855.0,1865.0,1813.0,1847.1,45472,False
29,2026-05-14,1849.5,1850.0,1785.0,1840.4,39997,False
30,2026-05-13,1799.99,1817.99,1750.0,1813.36,12677,False
31,2026-05-12,1805.0,1807.0,1780.0,1783.69,9323,False
32,2026-05-11,1799.98,1850.0,1760.06,1799.99,21163,False
33,2026-05-08,1782.0,1810.0,1770.0,1775.3,107053,False
34,2026-05-07,1740.0,1800.0,1738.0,1782.08,13715,False
35,2026-05-06,1725.0,1749.24,1700.0,1742.96,10368,False
36,2026-05-05,1655.0,1749.9,1650.0,1687.45,35052,False
37,2026-05-04,1640.0,1823.81,1625.0,1654.68,20173,False
38,2026-04-30,1687.96,1699.0,1615.0,1658.01,10973,False
39,2026-04-29,1675.45,1688.0,1655.01,1687.96,659,False
40,2026-04-28,1671.0,1710.0,1630.0,1675.45,20116,False
41,2026-04-27,1651.0,1700.0,1621.0,1671.2,1489,False
42,2026-04-24,1630.0,1689.99,1600.0,1673.78,577,False
43,2026-04-23,1665.01,1690.0,1635.02,1672.1,593,False
44,2026-04-22,1652.0,1690.0,1650.0,1675.0,1243,False
45,2026-04-21,1625.04,1695.0,1625.04,1686.85,2437,False
46,2026-04-20,1645.25,1695.0,1635.0,1680.87,3741,False
47,2026-04-17,1660.0,1690.0,1601.0,1678.7,16361,False
48,2026-04-16,1749.95,1750.0,1600.0,1644.45,5326,False
49,2026-04-15,1577.0,1719.0,1577.0,1667.77,5544,False
50,2026-04-14,1470.0,1575.02,1470.0,1572.29,15919,False
51,2026-04-13,1412.0,1475.0,1412.0,1431.84,35282,False
52,2026-04-10,1530.06,1535.0,1400.0,1411.26,14371,False
53,2026-04-09,1470.0,1520.0,1425.0,1520.0,2126,False
54,2026-04-08,1411.11,1521.8,1411.11,1521.01,204083,False
55,2026-04-07,1341.0,1388.0,1330.0,1383.45,9989,False
56,2026-04-06,1331.01,1365.0,1331.01,1354.73,4402,False
57,2026-04-03,1360.0,1393.0,1295.0,1342.45,6697,False
58,2026-04-02,1397.84,1449.84,1301.2,1395.88,466,False
59,2026-04-01,1410.0,1469.95,1395.0,1397.84,3746,False
60,2026-03-31,1410.0,1410.0,1372.0,1400.0,260,False
61,2026-03-30,1400.0,1410.0,1380.0,1398.98,270,False
62,2026-03-27,1395.6,1420.0,1380.01,1420.0,564,False
63,2026-03-26,1475.0,1500.0,1390.0,1395.58,4214,False
64,2026-03-25,1499.9,1500.0,1460.0,1470.74,5924,False
65,2026-03-24,1511.08,1569.9,1470.0,1500.0,11472,False
66,2026-03-19,1497.01,1497.01,1450.01,1473.62,1380,False
67,2026-03-18,1500.0,1549.88,1480.05,1503.71,252,False
68,2026-03-17,1510.0,1549.89,1500.0,1501.12,196,False
69,2026-03-16,1568.0,1568.0,1451.0,1505.62,156,False
70,2026-03-13,1599.0,1599.0,1570.0,1580.0,53,False
71,2026-03-12,1452.0,1635.0,1452.0,1574.99,1309,False
72,2026-03-11,1499.99,1501.02,1436.15,1489.71,2224,False
73,2026-03-10,1532.0,1539.99,1499.9,1539.99,3504,False
74,2026-03-09,1535.0,1535.0,1385.09,1399.99,8927,False
75,2026-03-06,1559.88,1559.88,1532.0,1538.99,163,False
76,2026-03-05,1574.95,1574.95,1485.0,1506.5,7708,False
77,2026-03-04,1574.0,1595.0,1510.0,1520.08,2597,False
78,2026-03-03,1542.0,1593.9,1387.51,1490.32,9508,False
79,2026-03-02,1600.0,1700.0,1541.14,1541.14,4004,False
80,2026-02-27,1798.0,1798.0,1711.0,1712.38,529,False
81,2026-02-26,1720.0,1790.0,1661.11,1747.06,4129,False
82,2026-02-25,1770.0,1799.0,1699.0,1724.1,1858,False
83,2026-02-24,1755.0,1797.0,1700.0,1773.4,2066,False
84,2026-02-23,1799.96,1800.0,1742.5,1754.4,2787,False
85,2026-02-20,1771.0,1800.0,1771.0,1799.96,1105,False
86,2026-02-19,1849.0,1849.0,1800.0,1819.02,6568,False
87,2026-02-18,1750.0,1900.0,1750.0,1870.49,1505,False
88,2026-02-17,1860.01,1870.0,1800.0,1827.85,5820,False
89,2026-02-16,1850.0,1895.0,1827.0,1850.01,74685,False
90,2026-02-13,1820.0,1840.0,1817.0,1824.9,4938,False
91,2026-02-12,1821.0,1840.0,1810.0,1830.0,2861,False
92,2026-02-11,1785.0,1850.0,1785.0,1847.39,70147,False
93,2026-02-10,1800.0,1825.0,1775.0,1792.95,2744,False
94,2026-02-09,1802.0,1842.0,1795.0,1799.74,3526,False
95,2026-02-06,1875.0,1875.0,1800.0,1825.62,3251,False
96,2026-02-04,1812.99,1902.5,1812.99,1875.9,31685,False
97,2026-02-03,1751.0,1820.0,1750.56,1810.78,4036,False
98,2026-02-02,1741.0,1753.0,1741.0,1751.0,3024,False
99,2026-01-30,1794.0,1794.0,1740.0,1740.54,2910,False
100,2026-01-29,1829.89,1829.89,1731.0,1734.08,6066,False
101,2026-01-28,1786.0,1797.98,1750.0,1790.0,1743,False
102,2026-01-27,1827.0,1845.0,1780.0,1785.79,718,False
103,2026-01-26,1780.02,1875.0,1780.0,1808.3,4879,False
104,2026-01-23,1752.0,1884.0,1752.0,1831.07,15030,False
105,2026-01-22,1751.0,1805.0,1751.0,1793.9,5340,False
106,2026-01-21,1865.0,1865.0,1736.0,1770.9,17074,False
107,2026-01-20,1855.0,1910.0,1802.0,1814.62,5368,False
108,2026-01-19,1725.0,1860.0,1700.9,1850.57,38334,False
109,2026-01-16,1625.05,1740.0,1625.05,1707.11,9847,False
110,2026-01-15,1680.0,1685.0,1670.0,1674.06,1693,False
111,2026-01-14,1672.05,1672.05,1655.0,1662.66,1616,False
112,2026-01-13,1695.0,1695.0,1655.06,1672.71,1137,False
113,2026-01-12,1622.0,1724.95,1622.0,1678.88,2557,False
114,2026-01-09,1679.79,1700.0,1670.0,1686.0,3433,False
115,2026-01-08,1710.0,1710.0,1667.0,1679.78,3163,False
116,2026-01-07,1630.0,1699.61,1600.01,1681.13,7173,False
117,2026-01-06,1585.0,1665.0,1556.11,1612.59,8980,False
118,2026-01-05,1565.0,1575.0,1552.15,1571.79,3024,False
119,2026-01-02,1548.05,1570.0,1548.05,1569.93,3630,False
120,2026-01-01,1570.0,1570.0,1540.0,1547.47,4469,False
121,2025-12-31,1565.0,1581.0,1554.0,1575.0,4705,False
122,2025-12-30,1585.0,1585.0,1549.0,1565.8,4260,False
123,2025-12-29,1575.0,1580.0,1545.0,1574.63,2024,False
124,2025-12-26,1563.9,1564.5,1553.0,1563.71,3672,False
125,2025-12-24,1521.0,1570.0,1521.0,1563.91,1383,False
126,2025-12-23,1589.9,1589.9,1540.04,1550.02,2298,False
127,2025-12-22,1530.0,1585.0,1520.02,1570.38,2390,False
128,2025-12-19,1499.0,1543.0,1499.0,1538.87,1846,False
129,2025-12-18,1572.95,1574.0,1460.0,1496.62,45281,False
130,2025-12-17,1601.1,1601.1,1550.0,1551.94,18882,False
131,2025-12-16,1618.0,1625.0,1600.0,1600.03,1829,False
132,2025-12-15,1535.0,1650.0,1535.0,1618.42,4425,False
133,2025-12-12,1600.0,1625.0,1535.0,1550.81,22430,False
134,2025-12-11,1650.0,1650.0,1600.0,1608.24,10293,False
135,2025-12-10,1780.0,1780.0,1612.01,1644.17,24304,False
136,2025-12-09,1800.01,1845.0,1787.0,1790.06,1967,False
137,2025-12-08,1780.33,1800.0,1760.0,1800.0,3861,False
138,2025-12-05,1835.0,1909.38,1700.01,1780.33,80213,False
139,2025-12-04,1580.0,1735.8,1580.0,1735.8,73529,False
140,2025-12-03,1570.01,1599.0,1570.0,1578.0,1046,False
141,2025-12-02,1610.2,1610.2,1570.0,1600.0,2050,False
142,2025-12-01,1520.0,1629.1,1520.0,1610.03,20047,False
143,2025-11-28,1415.05,1595.09,1415.05,1570.21,103172,False
144,2025-11-27,1399.98,1460.0,1399.98,1450.08,15575,False
145,2025-11-26,1424.93,1430.0,1400.0,1413.21,8811,False
146,2025-11-25,1375.0,1405.0,1375.0,1399.75,4100,False
147,2025-11-24,1375.1,1375.1,1300.0,1370.59,1206,False
148,2025-11-21,1375.0,1399.5,1375.0,1375.03,204,False
149,2025-11-20,1428.0,1429.8,1411.0,1411.89,303,False
150,2025-11-19,1437.9,1450.0,1355.0,1430.44,10308,False
151,2025-11-18,1389.99,1460.0,1388.99,1394.47,19188,False
152,2025-11-17,1359.99,1400.0,1359.99,1386.76,3548,False
153,2025-11-14,1308.66,1386.9,1308.66,1358.05,1871,False
154,2025-11-13,1299.98,1332.0,1299.98,1308.66,46,False
155,2025-11-12,1295.0,1319.93,1290.0,1310.45,624,False
156,2025-11-11,1202.0,1325.0,1202.0,1300.0,914,False
157,2025-11-10,1340.0,1340.0,1311.0,1315.73,25,False
158,2025-11-07,1365.0,1365.0,1312.0,1315.73,480,False
159,2025-11-06,1261.0,1375.0,1261.0,1306.94,682,False
160,2025-11-05,1331.02,1368.0,1315.0,1314.97,8,True
161,2025-11-04,1370.0,1370.0,1310.0,1314.97,1878,False
162,2025-11-03,1385.0,1385.0,1330.0,1333.55,707,False
163,2025-10-31,1370.0,1370.0,1320.0,1350.14,4346,False
164,2025-10-30,1405.01,1405.01,1301.16,1310.7,13623,False
165,2025-10-29,1401.0,1449.0,1401.0,1402.0,3462,False
166,2025-10-28,1401.01,1498.9,1400.01,1442.43,32900,False
167,2025-10-27,1400.0,1420.99,1400.0,1418.44,9348,False
168,2025-10-24,1399.0,1525.0,1375.0,1424.51,4700,False
169,2025-10-23,1375.0,1423.0,1375.0,1400.7,5986,False
170,2025-10-22,1375.0,1407.0,1375.0,1398.92,8200,False
171,2025-10-21,1350.0,1388.0,1350.0,1377.96,6332,False
172,2025-10-20,1332.0,1374.99,1330.0,1352.13,22307,False
173,2025-10-17,1315.0,1335.0,1315.0,1325.0,1213,False
174,2025-10-16,1326.01,1339.9,1325.0,1330.0,3105,False
175,2025-10-15,1348.98,1348.98,1325.0,1329.01,755,False
176,2025-10-14,1335.0,1348.99,1315.25,1337.53,609,False
177,2025-10-13,1347.24,1350.0,1290.0,1295.82,1575,False
178,2025-10-10,1320.0,1360.0,1320.0,1347.24,2983,False
179,2025-10-09,1301.55,1339.0,1301.55,1316.33,1820,False
180,2025-10-08,1320.0,1351.0,1300.0,1323.1,4590,False
181,2025-10-07,1348.91,1360.0,1345.0,1350.0,3430,False
182,2025-10-06,1350.0,1355.0,1335.0,1348.91,6834,False
183,2025-10-03,1365.0,1380.0,1350.0,1355.72,4009,False
184,2025-10-02,1350.0,1365.5,1350.0,1359.95,2339,False
185,2025-10-01,1377.0,1377.0,1350.0,1368.14,12649,False
186,2025-09-30,1384.0,1398.98,1370.0,1376.11,1432,False
187,2025-09-29,1350.0,1435.0,1350.0,1383.17,11683,False
