date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,32.5,32.5,31.79,31.85,8089276,False
1,2026-06-30,30.85,32.39,30.8,32.08,21708950,False
2,2026-06-29,32.05,32.25,30.65,30.83,10538155,False
3,2026-06-24,33.2,33.3,31.8,32.04,20069542,False
4,2026-06-23,32.98,33.4,32.61,32.94,32348350,False
5,2026-06-22,31.93,32.7,31.58,32.23,33023298,False
6,2026-06-19,30.7,32.35,30.3,31.32,87347852,False
7,2026-06-18,31.8,31.8,30.54,30.63,12584764,False
8,2026-06-17,31.0,32.2,30.93,31.41,42645672,False
9,2026-06-16,28.25,30.43,28.25,30.43,42975274,False
10,2026-06-15,27.75,27.89,27.15,27.66,8085960,False
11,2026-06-12,27.0,27.27,26.9,26.97,4284825,False
12,2026-06-11,26.5,26.93,26.3,26.67,2033971,False
13,2026-06-10,26.5,27.15,26.47,26.6,3107268,False
14,2026-06-09,26.89,27.35,26.52,26.76,5003474,False
15,2026-06-08,26.59,26.6,26.01,26.31,2272256,False
16,2026-06-05,27.37,27.39,26.7,26.83,6882032,False
17,2026-06-04,26.84,27.38,26.64,27.17,4114081,False
18,2026-06-03,26.85,26.99,26.38,26.6,3005699,False
19,2026-06-02,27.51,27.51,26.88,26.97,5816275,False
20,2026-06-01,27.85,27.9,27.01,27.27,5356255,False
21,2026-05-29,27.14,28.1,26.84,27.73,17909146,False
22,2026-05-25,27.1,27.25,26.7,26.83,8185442,False
23,2026-05-22,26.82,27.0,26.0,26.22,7214413,False
24,2026-05-21,26.5,26.86,26.15,26.39,9829910,False
25,2026-05-20,25.02,26.7,25.02,25.93,25264818,False
26,2026-05-19,25.85,26.14,24.89,25.22,6641253,False
27,2026-05-18,26.5,26.6,25.4,25.51,3428460,False
28,2026-05-15,26.39,26.88,26.39,26.54,1662357,False
29,2026-05-14,27.15,27.36,26.0,26.45,5779240,False
30,2026-05-13,27.01,27.78,26.0,26.89,4525601,False
31,2026-05-12,27.68,28.08,26.9,27.03,3124837,False
32,2026-05-11,27.5,28.49,27.48,27.68,9666155,False
33,2026-05-08,28.68,28.68,27.51,27.91,8609683,False
34,2026-05-07,28.84,29.4,28.02,28.73,23321408,False
35,2026-05-06,28.65,29.05,28.2,28.48,29561475,False
36,2026-05-05,25.7,27.95,25.7,27.65,30889210,False
37,2026-05-04,25.01,27.17,24.94,26.52,49675264,False
38,2026-04-30,25.64,25.64,23.8,24.7,5846199,False
39,2026-04-29,27.25,27.88,25.42,26.21,9050480,False
40,2026-04-28,27.27,28.09,27.0,27.25,3668132,False
41,2026-04-27,28.05,29.15,27.6,27.8,9576209,False
42,2026-04-24,26.98,28.7,26.21,28.4,10596947,False
43,2026-04-23,28.74,28.74,27.01,27.28,7165395,False
44,2026-04-22,29.49,29.7,28.53,28.72,7035281,False
45,2026-04-21,28.85,30.38,28.6,29.49,27124551,False
46,2026-04-20,29.01,29.4,27.39,28.27,17762934,False
47,2026-04-17,30.0,30.0,28.9,29.66,19545173,False
48,2026-04-16,30.5,30.5,28.6,29.12,28447918,False
49,2026-04-15,26.8,28.55,26.55,28.55,29179181,False
50,2026-04-14,26.25,26.4,25.76,25.95,25610393,False
51,2026-04-13,24.7,26.6,24.5,25.15,60238406,False
52,2026-04-10,23.1,25.29,23.1,25.29,56498175,False
53,2026-04-09,23.98,23.98,22.81,22.99,8509464,False
54,2026-04-08,23.85,23.88,22.9,23.88,7453749,False
55,2026-04-07,20.77,22.14,20.7,21.71,7702010,False
56,2026-04-06,21.01,21.5,20.63,21.09,3852392,False
57,2026-04-03,19.11,21.4,19.11,21.19,8214189,False
58,2026-04-02,20.01,20.2,19.61,20.07,2122486,False
59,2026-04-01,20.01,21.24,20.01,20.62,6478839,False
60,2026-03-31,19.45,20.35,19.45,19.68,5438576,False
61,2026-03-30,20.7,20.7,19.02,19.43,5560012,False
62,2026-03-27,21.8,21.8,19.96,20.47,6202416,False
