date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,454.01,488.0,454.0,461.48,52951,False
1,2026-06-30,461.0,461.0,451.13,458.82,12452,False
2,2026-06-29,474.99,474.99,450.0,461.15,25380,False
3,2026-06-24,479.35,487.5,455.0,472.91,29316,False
4,2026-06-23,510.98,510.98,472.0,479.35,41965,False
5,2026-06-22,566.0,566.0,491.51,509.44,134105,False
6,2026-06-19,524.21,524.21,524.0,524.21,52925,False
7,2026-06-18,439.0,476.55,438.0,476.55,127739,False
8,2026-06-17,418.0,454.82,412.0,433.23,131974,False
9,2026-06-16,420.4,420.4,413.0,413.47,16150,False
10,2026-06-15,422.0,422.4,413.0,415.32,19281,False
11,2026-06-12,418.0,418.0,407.01,410.57,9713,False
12,2026-06-11,419.0,419.0,410.0,410.66,6227,False
13,2026-06-10,414.0,416.9,410.0,410.83,4857,False
14,2026-06-09,420.0,420.0,412.01,414.59,2818,False
15,2026-06-08,415.0,423.49,404.1,411.45,7765,False
16,2026-06-05,411.5,424.9,411.5,418.29,16125,False
17,2026-06-04,414.77,417.3,411.12,414.73,1782,False
18,2026-06-03,412.2,420.9,412.0,412.3,3688,False
19,2026-06-02,417.0,423.5,405.3,419.85,19414,False
20,2026-06-01,424.0,424.0,411.0,413.47,15678,False
21,2026-05-29,417.0,420.0,414.61,419.22,3538,False
22,2026-05-25,420.85,420.99,412.01,416.61,3130,False
23,2026-05-22,413.78,414.5,408.0,408.77,2740,False
24,2026-05-21,409.88,413.86,405.11,407.1,5439,False
25,2026-05-20,405.5,409.0,400.0,406.49,2641,False
26,2026-05-19,405.0,407.0,395.0,400.03,10606,False
27,2026-05-18,422.44,422.44,395.0,399.41,10200,False
28,2026-05-15,418.0,422.0,413.11,418.0,5856,False
29,2026-05-14,426.86,426.98,416.07,417.53,8885,False
30,2026-05-13,425.0,428.98,413.02,421.09,11735,False
31,2026-05-12,431.98,431.98,418.18,419.41,23447,False
32,2026-05-11,424.5,429.98,415.0,424.55,11616,False
33,2026-05-08,434.87,434.87,421.15,423.49,24253,False
34,2026-05-07,435.0,436.0,422.27,427.66,19424,False
35,2026-05-06,434.92,434.94,419.92,429.98,31242,False
36,2026-05-05,411.75,424.0,411.75,419.92,15838,False
