date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,147.9,150.0,147.81,149.57,1614217,False
1,2026-06-30,148.5,150.85,145.0,147.09,4088849,False
2,2026-06-29,149.93,150.0,147.7,147.95,1017228,False
3,2026-06-24,150.0,150.84,149.25,149.93,1144815,False
4,2026-06-23,151.88,151.88,149.0,149.43,3130532,False
5,2026-06-22,152.75,153.4,149.52,150.05,968922,False
6,2026-06-19,155.16,155.69,150.14,151.18,1711788,False
7,2026-06-18,155.5,156.0,154.1,155.16,1920778,False
8,2026-06-17,156.5,158.0,154.0,155.54,2036077,False
9,2026-06-16,153.99,157.0,153.2,155.72,5696030,False
10,2026-06-15,154.0,155.31,151.5,153.68,2487366,False
11,2026-06-12,148.0,150.75,147.51,147.81,1984640,False
12,2026-06-11,146.0,147.5,146.0,146.92,359474,False
13,2026-06-10,146.0,147.5,146.0,146.46,689354,False
14,2026-06-09,147.8,148.2,146.9,147.72,431309,False
15,2026-06-08,147.9,147.93,145.5,146.66,745042,False
16,2026-06-05,149.5,150.0,147.85,147.97,1358190,False
17,2026-06-04,149.4,150.11,148.0,148.89,2987666,False
18,2026-06-03,147.5,150.0,147.5,148.86,1329800,False
19,2026-06-02,147.73,150.01,147.5,147.8,818206,False
20,2026-06-01,150.01,152.99,146.8,147.73,1628855,False
21,2026-05-29,151.5,151.78,148.5,149.88,2761164,False
22,2026-05-25,152.01,153.49,149.0,151.78,1167199,False
23,2026-05-22,152.41,152.8,148.75,150.0,939084,False
24,2026-05-21,151.0,152.3,150.01,151.81,458856,False
25,2026-05-20,148.0,149.95,147.3,149.74,333256,False
26,2026-05-19,148.0,151.24,146.16,147.32,989712,False
27,2026-05-18,149.3,149.99,146.5,147.5,676792,False
28,2026-05-15,150.88,151.0,149.1,149.52,1247482,False
29,2026-05-14,153.47,153.47,148.07,149.21,490305,False
30,2026-05-13,153.49,154.65,151.05,151.98,872693,False
31,2026-05-12,156.0,157.0,153.0,153.49,1213738,False
32,2026-05-11,153.0,157.0,152.0,155.3,1956484,False
33,2026-05-08,154.0,154.89,151.0,153.89,1478618,False
34,2026-05-07,155.49,156.0,153.0,155.41,2686131,False
35,2026-05-06,149.0,155.0,149.0,154.16,2296801,False
36,2026-05-05,144.01,148.0,144.01,147.75,573389,False
37,2026-05-04,146.0,150.01,146.0,147.1,916354,False
38,2026-04-30,149.0,149.01,145.0,145.34,1160686,False
39,2026-04-29,152.0,153.57,150.13,150.66,1177979,False
40,2026-04-28,150.5,153.74,150.01,152.17,4039995,False
41,2026-04-27,151.0,152.89,150.9,151.91,1151505,False
42,2026-04-24,149.0,154.0,146.02,152.35,1938691,False
43,2026-04-23,152.0,152.95,149.8,150.05,1961324,False
44,2026-04-22,154.0,154.0,150.98,152.46,638752,False
45,2026-04-21,154.5,155.0,152.52,153.84,1176877,False
46,2026-04-20,152.01,153.99,150.3,153.15,1832730,False
47,2026-04-17,154.5,155.01,152.2,154.53,2245618,False
48,2026-04-16,155.5,155.5,152.25,153.16,1925079,False
49,2026-04-15,155.0,156.0,153.0,153.59,2363465,False
50,2026-04-14,150.5,153.0,150.5,152.1,1959711,False
51,2026-04-13,149.5,151.5,141.01,148.8,2700117,False
52,2026-04-10,151.3,154.29,151.3,152.86,2974278,False
53,2026-04-09,153.0,153.87,147.0,151.15,3003874,False
54,2026-04-08,150.0,154.29,148.5,154.28,8888440,False
55,2026-04-07,138.0,141.89,136.0,140.26,2030009,False
56,2026-04-06,136.0,138.99,133.5,138.26,2141770,False
57,2026-04-03,135.01,139.4,135.01,135.99,919043,False
58,2026-04-02,140.0,140.0,134.02,139.84,1028506,False
59,2026-04-01,141.0,146.0,140.49,143.5,4146969,False
60,2026-03-31,136.5,140.57,136.5,138.83,2035308,False
61,2026-03-30,140.75,140.95,132.65,136.45,3061578,False
62,2026-03-27,137.99,141.78,137.0,140.3,2665951,False
63,2026-03-26,140.0,140.0,136.0,137.61,3650664,False
64,2026-03-25,131.99,143.77,131.7,141.25,5694929,False
65,2026-03-24,130.26,133.0,129.0,130.7,2098375,False
66,2026-03-19,125.01,128.75,124.8,126.43,1366589,False
67,2026-03-18,126.6,128.17,126.5,127.0,2913835,False
68,2026-03-17,125.05,126.9,125.05,126.14,1290847,False
69,2026-03-16,122.39,126.5,120.67,125.02,3435292,False
70,2026-03-13,122.5,123.89,120.02,122.39,934332,False
71,2026-03-12,115.0,123.65,113.1,122.14,3733638,False
72,2026-03-11,121.0,121.0,113.9,115.87,3800603,False
73,2026-03-10,116.0,117.4,112.71,117.4,1014832,False
74,2026-03-09,106.52,110.0,105.98,106.73,4460986,False
75,2026-03-06,124.2,124.48,116.5,117.75,2465498,False
76,2026-03-05,120.03,124.94,119.7,124.1,3412946,False
77,2026-03-04,122.66,124.99,119.5,119.84,1881880,False
78,2026-03-03,119.03,125.0,116.15,122.54,2630948,False
79,2026-03-02,119.03,126.0,119.03,119.03,4850528,False
80,2026-02-27,133.66,135.0,130.02,132.26,1155616,False
81,2026-02-26,131.0,135.0,128.0,133.93,2297052,False
82,2026-02-25,133.0,134.0,130.0,130.44,1791279,False
83,2026-02-24,135.0,135.0,128.0,132.28,3397011,False
84,2026-02-23,141.0,141.41,132.0,134.37,2271905,False
85,2026-02-20,137.0,143.0,135.0,140.16,1796412,False
86,2026-02-19,143.2,143.4,135.5,136.38,2227689,False
