date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,193.99,198.9,191.7,198.57,263349,False
1,2026-06-30,194.06,194.06,191.8,193.18,87392,False
2,2026-06-29,190.1,196.99,190.0,192.66,202331,False
3,2026-06-24,190.0,191.74,187.87,189.82,253285,False
4,2026-06-23,189.98,193.49,189.0,189.85,307351,False
5,2026-06-22,195.0,195.0,188.0,189.53,228056,False
6,2026-06-19,195.98,196.0,188.12,191.58,219863,False
7,2026-06-18,197.0,197.93,192.99,193.65,297260,False
8,2026-06-17,200.1,200.1,193.0,195.22,592121,False
9,2026-06-16,208.0,209.0,199.0,199.93,2042327,False
10,2026-06-15,197.79,197.79,192.0,197.79,876943,False
11,2026-06-12,180.0,182.0,178.25,179.81,337202,False
12,2026-06-11,177.0,180.0,176.0,178.13,58231,False
13,2026-06-10,177.0,180.97,177.0,178.84,33992,False
14,2026-06-09,180.88,181.5,178.0,179.31,57308,False
15,2026-06-08,176.0,179.5,175.0,178.62,61560,False
16,2026-06-05,176.85,178.85,176.0,177.08,55708,False
17,2026-06-04,176.6,178.84,176.0,176.66,179419,False
18,2026-06-03,177.8,179.9,174.0,176.56,194162,False
19,2026-06-02,176.49,181.0,176.49,177.8,300217,False
20,2026-06-01,183.7,184.3,176.15,177.26,691787,False
21,2026-05-29,169.99,182.74,169.99,182.61,1217713,False
22,2026-05-25,170.1,171.0,165.0,166.13,239376,False
23,2026-05-22,161.98,170.48,157.75,165.46,219670,False
24,2026-05-21,156.0,164.0,156.0,160.28,181916,False
25,2026-05-20,151.25,156.24,151.25,155.33,13410,False
26,2026-05-19,157.99,157.99,152.7,153.65,41116,False
27,2026-05-18,161.0,161.0,150.1,152.08,60617,False
28,2026-05-15,163.4,163.4,159.64,161.38,9421,False
29,2026-05-14,162.44,165.52,159.54,161.02,42205,False
30,2026-05-13,165.2,167.0,162.0,162.44,23043,False
31,2026-05-12,167.0,168.2,165.01,166.03,36219,False
32,2026-05-11,167.99,167.99,166.0,166.94,49537,False
33,2026-05-08,170.0,170.0,166.5,167.0,55929,False
34,2026-05-07,170.0,172.9,169.99,171.07,33558,False
35,2026-05-06,163.05,171.0,163.02,169.58,105866,False
36,2026-05-05,163.8,164.0,158.99,160.35,35261,False
37,2026-05-04,165.0,169.0,147.27,162.08,45891,False
38,2026-04-30,165.0,165.74,161.5,163.63,45244,False
39,2026-04-29,164.1,168.5,163.0,166.82,383753,False
40,2026-04-28,167.0,171.85,163.0,163.36,136700,False
41,2026-04-27,165.0,170.94,165.0,167.54,178104,False
42,2026-04-24,165.0,172.88,165.0,168.85,81763,False
43,2026-04-23,170.2,170.2,167.0,167.69,46256,False
44,2026-04-22,174.0,174.0,168.55,169.82,50357,False
45,2026-04-21,172.39,178.5,169.5,173.11,200794,False
46,2026-04-20,172.75,172.75,165.51,169.81,98297,False
47,2026-04-17,175.0,175.25,172.25,172.78,255836,False
48,2026-04-16,182.01,185.93,172.2,173.0,435558,False
49,2026-04-15,183.13,189.0,178.0,181.1,404116,False
50,2026-04-14,170.0,179.8,170.0,177.41,253665,False
51,2026-04-13,160.0,168.0,156.01,166.24,342931,False
52,2026-04-10,151.21,167.53,151.21,167.52,753664,False
53,2026-04-09,150.01,155.0,148.0,152.3,220844,False
54,2026-04-08,152.77,152.77,145.0,152.77,1637239,False
55,2026-04-07,138.0,140.51,137.0,138.88,32900,False
56,2026-04-06,138.5,141.0,136.11,139.19,60163,False
57,2026-04-03,136.0,142.59,136.0,138.26,69073,False
58,2026-04-02,137.0,145.0,133.0,140.24,454080,False
59,2026-04-01,139.99,140.0,136.0,138.21,748180,False
60,2026-03-31,134.85,137.94,128.0,135.31,462771,False
61,2026-03-30,133.0,137.0,129.71,131.08,49697,False
62,2026-03-27,138.0,138.0,130.5,133.92,34915,False
63,2026-03-26,140.0,140.0,137.0,137.24,112571,False
64,2026-03-25,138.2,142.5,138.2,139.73,617598,False
65,2026-03-24,144.8,144.8,137.5,138.14,41155,False
66,2026-03-19,140.01,141.85,137.03,139.82,22432,False
67,2026-03-18,137.0,142.66,137.0,141.42,93360,False
68,2026-03-17,136.98,139.43,135.0,136.08,69571,False
69,2026-03-16,139.9,139.9,134.5,135.04,53110,False
70,2026-03-13,135.95,139.43,134.0,137.93,45875,False
71,2026-03-12,133.0,136.0,130.05,134.78,187703,False
72,2026-03-11,136.25,138.43,134.75,135.93,157540,False
73,2026-03-10,143.99,144.47,133.1,136.12,709204,False
74,2026-03-09,140.0,140.0,131.34,131.34,442532,False
75,2026-03-06,149.0,150.11,145.02,145.93,72633,False
76,2026-03-05,150.2,153.98,144.06,149.34,814663,False
77,2026-03-04,156.71,161.99,151.5,154.37,160477,False
78,2026-03-03,160.0,164.0,150.5,156.68,282761,False
79,2026-03-02,158.0,163.97,156.14,156.14,153509,False
80,2026-02-27,174.95,174.95,170.0,173.49,15079,False
81,2026-02-26,177.0,179.4,166.5,176.11,644877,False
82,2026-02-25,183.5,183.5,176.5,176.98,149490,False
83,2026-02-24,189.5,195.0,179.99,183.35,212832,False
84,2026-02-23,195.0,205.0,185.94,187.57,92420,False
85,2026-02-20,200.0,200.0,189.99,198.47,13189,False
86,2026-02-19,202.3,206.0,193.01,199.21,29450,False
87,2026-02-18,204.0,206.25,200.0,205.94,42107,False
88,2026-02-17,205.0,208.99,194.0,197.99,34324,False
89,2026-02-16,210.0,210.0,202.0,204.18,61145,False
90,2026-02-13,210.0,211.0,208.8,209.34,22713,False
91,2026-02-12,215.11,215.11,209.05,210.83,81378,False
92,2026-02-11,210.3,215.98,210.3,214.26,867950,False
93,2026-02-10,210.12,214.98,209.0,210.27,20707,False
94,2026-02-09,210.0,218.8,209.84,210.81,58719,False
95,2026-02-06,216.0,217.99,212.0,212.05,54394,False
96,2026-02-04,219.94,219.94,214.75,215.39,73685,False
97,2026-02-03,217.6,220.4,216.0,217.18,40131,False
98,2026-02-02,219.0,219.97,215.0,217.64,186107,False
99,2026-01-30,215.0,220.01,215.0,219.18,56206,False
100,2026-01-29,221.1,222.67,214.98,217.23,132166,False
101,2026-01-28,223.0,224.89,220.1,221.16,34674,False
102,2026-01-27,226.0,227.0,219.5,222.73,151108,False
103,2026-01-26,225.86,228.95,222.51,223.48,55073,False
104,2026-01-23,229.0,230.5,224.51,225.87,61162,False
105,2026-01-22,228.0,229.99,227.5,227.95,96132,False
106,2026-01-21,228.0,232.19,225.01,227.4,208243,False
107,2026-01-20,234.0,234.0,228.2,230.75,96347,False
108,2026-01-19,235.0,235.0,227.01,233.44,115784,False
109,2026-01-16,227.01,236.5,227.01,234.89,192140,False
110,2026-01-15,231.5,231.5,228.0,228.57,105006,False
111,2026-01-14,231.65,237.0,229.4,231.58,397848,False
112,2026-01-13,233.0,233.95,223.51,231.65,255744,False
113,2026-01-12,234.71,235.0,230.0,233.01,146586,False
114,2026-01-09,232.0,236.9,227.0,234.71,179250,False
115,2026-01-08,228.51,234.97,225.0,231.9,195346,False
116,2026-01-07,230.5,230.5,224.0,228.51,81445,False
117,2026-01-06,226.97,230.05,220.15,228.87,224974,False
