date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,641.01,642.0,621.5,625.01,59954,False
1,2026-06-30,639.89,650.0,635.01,645.24,67842,False
2,2026-06-29,640.0,650.0,625.7,641.52,38844,False
3,2026-06-24,628.0,650.0,620.0,635.98,17313,False
4,2026-06-23,628.89,630.0,620.0,621.42,6206,False
5,2026-06-22,634.99,634.99,619.11,620.06,1604,False
6,2026-06-19,628.99,645.0,615.0,616.52,102359,False
7,2026-06-18,626.0,630.0,616.05,620.0,73231,False
8,2026-06-17,630.0,630.0,619.5,621.97,107245,False
9,2026-06-16,620.0,634.7,615.0,623.87,19486,False
10,2026-06-15,623.0,633.0,611.0,619.34,993,False
11,2026-06-12,626.0,630.0,610.0,623.01,4283,False
12,2026-06-11,630.11,630.11,615.1,617.96,778,False
13,2026-06-10,620.0,620.0,614.98,615.11,825,False
14,2026-06-09,625.5,625.5,610.0,616.51,12218,False
15,2026-06-08,610.0,640.0,610.0,625.55,46331,False
16,2026-06-05,647.99,647.99,620.0,628.29,9953,False
17,2026-06-04,645.0,645.0,617.1,620.0,2161,False
18,2026-06-03,627.0,636.0,617.05,619.23,1217,False
19,2026-06-02,615.01,630.0,615.01,626.04,554,False
20,2026-06-01,640.41,661.0,621.0,622.05,1437,False
21,2026-05-29,654.99,654.99,601.01,640.41,34640,False
22,2026-05-25,606.0,618.0,604.0,604.65,9289,False
23,2026-05-22,610.0,610.0,591.0,606.82,7049,False
24,2026-05-21,605.0,612.0,599.5,600.0,6596,False
25,2026-05-20,614.7,614.7,588.1,600.32,3806,False
26,2026-05-19,597.02,609.97,596.0,596.62,5598,False
27,2026-05-18,615.0,619.8,595.0,595.27,6578,False
28,2026-05-15,615.0,620.0,600.02,607.8,5103,False
29,2026-05-14,629.0,629.0,615.0,615.97,8516,False
30,2026-05-13,640.0,640.0,622.0,622.71,1028,False
31,2026-05-12,643.03,643.03,620.0,621.41,6616,False
32,2026-05-11,649.0,649.0,636.0,643.03,76,False
33,2026-05-08,649.98,649.98,635.01,646.0,791,False
34,2026-05-07,645.4,650.0,637.11,647.22,6661,False
35,2026-05-06,649.94,650.0,630.0,645.4,5089,False
36,2026-05-05,640.0,642.0,621.01,629.99,7675,False
37,2026-05-04,660.0,664.64,635.11,642.01,6807,False
38,2026-04-30,623.83,670.0,582.0,656.95,15526,False
39,2026-04-29,665.16,669.99,611.2,623.83,12947,False
40,2026-04-28,730.0,730.0,660.0,665.16,40984,False
41,2026-04-27,649.85,726.75,635.0,697.72,100746,False
42,2026-04-24,633.0,685.0,612.0,660.68,6198,False
43,2026-04-23,612.0,649.99,612.0,635.59,1763,False
44,2026-04-22,602.7,660.0,602.7,632.45,2045,False
45,2026-04-21,659.0,659.99,617.0,629.75,7038,False
46,2026-04-20,647.5,647.5,615.0,620.99,7248,False
47,2026-04-17,650.0,710.63,645.01,649.65,13361,False
48,2026-04-16,634.0,650.0,605.0,646.03,14765,False
49,2026-04-15,639.5,639.5,630.0,631.8,1741,False
50,2026-04-14,625.0,629.99,620.0,627.16,3239,False
51,2026-04-13,620.0,631.0,604.0,604.39,6432,False
52,2026-04-10,649.98,649.98,627.0,640.0,6117,False
53,2026-04-09,646.0,646.0,620.1,640.32,4410,False
54,2026-04-08,605.0,648.0,605.0,647.67,165267,False
55,2026-04-07,598.0,598.04,589.0,590.06,4891,False
56,2026-04-06,589.99,599.98,572.03,599.43,249,False
57,2026-04-03,600.0,601.0,589.0,589.19,7901,False
58,2026-04-02,635.0,635.0,590.0,601.1,51931,False
59,2026-04-01,640.0,640.0,620.0,636.48,18459,False
60,2026-03-31,590.0,635.0,590.0,620.0,35204,False
61,2026-03-30,610.0,610.0,578.0,590.13,3618,False
62,2026-03-27,630.0,630.0,560.1,610.0,15217,False
63,2026-03-26,620.0,620.0,577.76,610.02,37529,False
64,2026-03-25,592.01,640.0,592.01,619.41,98034,False
65,2026-03-24,620.0,630.0,551.0,598.02,2824,False
66,2026-03-19,561.99,609.0,560.0,598.89,46610,False
67,2026-03-18,590.0,615.0,570.0,601.11,15709,False
68,2026-03-17,565.0,565.0,564.89,564.91,1163,False
69,2026-03-16,583.0,638.0,563.0,569.84,23897,False
70,2026-03-13,580.01,585.0,565.0,580.02,17134,False
71,2026-03-12,600.0,600.0,580.0,582.71,48816,False
72,2026-03-11,584.16,625.0,550.0,600.0,31970,False
73,2026-03-10,550.0,594.0,550.0,584.17,33984,False
74,2026-03-09,556.0,600.0,551.47,551.47,51745,False
75,2026-03-06,660.0,660.0,611.02,612.74,6657,False
76,2026-03-05,679.0,679.0,625.01,642.05,64525,False
77,2026-03-04,658.34,658.34,640.0,640.04,31189,False
78,2026-03-03,602.0,686.57,602.0,658.34,42000,False
79,2026-03-02,690.0,690.0,624.15,624.15,14903,False
80,2026-02-27,660.0,700.0,650.05,693.5,116334,False
81,2026-02-26,630.0,685.0,620.0,667.04,97686,False
82,2026-02-25,649.0,649.0,615.0,631.0,6408,False
83,2026-02-24,644.97,644.97,600.0,630.0,16101,False
84,2026-02-23,649.2,664.88,620.0,621.83,7164,False
85,2026-02-20,676.9,676.9,639.98,649.2,24889,False
86,2026-02-19,714.0,716.0,651.0,657.96,434070,False
87,2026-02-18,695.28,695.28,688.0,695.28,424672,False
88,2026-02-17,611.99,655.0,611.99,632.07,50834,False
89,2026-02-16,610.0,619.88,600.0,603.45,44124,False
90,2026-02-13,611.99,624.9,600.05,620.53,2796,False
91,2026-02-12,630.01,638.5,580.51,611.97,51023,False
