date,date,open,high,low,close,volume,is_anomaly
0,2026-07-02,64.9,64.9,64.9,64.9,1036,False
1,2026-07-01,64.05,65.33,63.7,64.31,3732529,False
2,2026-06-30,63.68,64.5,63.5,63.67,2005403,False
3,2026-06-29,64.5,64.89,63.0,63.36,5256210,False
4,2026-06-24,65.0,66.08,64.0,64.4,5557363,False
5,2026-06-23,66.5,66.5,64.7,64.9,2533590,False
6,2026-06-22,67.7,67.7,65.0,65.95,4440941,False
7,2026-06-19,70.2,71.05,66.15,66.68,7995966,False
8,2026-06-18,70.42,71.2,69.65,69.84,6184621,False
9,2026-06-17,71.0,71.38,69.69,69.96,5587913,False
10,2026-06-16,69.5,71.75,69.11,70.42,9599086,False
11,2026-06-15,70.98,71.0,67.8,68.85,6957467,False
12,2026-06-12,71.5,72.1,69.3,69.78,6715558,False
13,2026-06-11,70.52,71.2,70.3,70.59,2613218,False
14,2026-06-10,71.0,72.4,70.35,70.98,4798074,False
15,2026-06-09,70.5,73.1,70.5,71.67,19523819,False
16,2026-06-08,70.06,70.5,68.9,69.54,5045154,False
17,2026-06-05,71.98,73.7,71.4,71.61,14096215,False
18,2026-06-04,69.8,72.48,69.2,71.75,16576439,False
19,2026-06-03,70.5,71.9,69.36,69.71,7208442,False
20,2026-06-02,73.98,73.98,69.8,70.63,17353786,False
21,2026-06-01,69.99,75.19,69.6,74.06,39407504,False
22,2026-05-29,64.0,69.52,62.5,69.17,34194879,False
23,2026-05-25,63.62,64.79,62.85,63.2,6029378,False
24,2026-05-22,63.06,64.74,62.35,62.67,5044537,False
25,2026-05-21,61.91,65.75,61.8,62.92,17655667,False
26,2026-05-20,60.99,61.67,60.1,61.22,4128643,False
27,2026-05-19,58.5,61.7,58.01,60.9,7806048,False
28,2026-05-18,62.49,63.2,57.44,57.9,6345545,False
29,2026-05-15,64.46,64.69,63.05,63.43,4162554,False
30,2026-05-14,63.5,64.5,62.0,63.22,9305805,False
31,2026-05-13,69.0,69.74,61.25,62.18,27126148,False
32,2026-05-12,67.0,67.17,66.0,67.17,4731445,False
33,2026-05-11,57.1,61.06,57.01,61.06,17270756,False
34,2026-05-08,54.98,56.39,54.2,55.51,3652639,False
35,2026-05-07,54.89,55.68,54.05,54.65,2194857,False
36,2026-05-06,52.51,54.68,52.51,54.33,3287555,False
37,2026-05-05,52.56,52.91,51.77,51.97,939005,False
38,2026-05-04,52.95,54.45,52.8,53.23,898284,False
39,2026-04-30,53.45,53.55,51.0,52.29,3448680,False
40,2026-04-29,53.26,54.75,53.01,53.19,5769402,False
41,2026-04-28,55.85,57.55,55.3,56.02,1499025,False
42,2026-04-27,56.98,56.98,55.85,56.0,1743578,False
43,2026-04-24,57.0,57.1,55.8,56.68,2542037,False
44,2026-04-23,58.0,58.0,56.51,57.3,3515665,False
45,2026-04-22,58.35,58.5,57.0,57.64,1624600,False
46,2026-04-21,58.4,59.48,57.5,58.07,2018376,False
47,2026-04-20,59.0,59.7,56.6,58.17,4732947,False
48,2026-04-17,60.75,61.5,59.61,60.1,7114718,False
49,2026-04-16,58.64,61.6,57.26,60.62,15439174,False
50,2026-04-15,58.99,60.49,57.57,57.99,8947708,False
51,2026-04-14,56.12,58.49,56.12,57.58,4428176,False
52,2026-04-13,57.47,57.47,55.11,55.49,3132200,False
53,2026-04-10,57.49,60.69,57.12,58.89,10846772,False
54,2026-04-09,59.0,59.1,57.11,57.41,4498292,False
55,2026-04-08,59.05,60.25,56.5,60.01,12584004,False
56,2026-04-07,54.89,56.21,53.52,54.92,8086810,False
57,2026-04-06,54.01,56.25,53.3,54.63,9606399,False
58,2026-04-03,53.0,56.18,52.65,53.66,10835021,False
59,2026-04-02,48.0,53.63,46.51,53.63,11244607,False
60,2026-04-01,46.8,49.5,46.49,48.75,4252416,False
61,2026-03-31,45.95,46.8,45.0,45.81,1406652,False
62,2026-03-30,45.82,46.45,43.51,45.88,4969495,False
63,2026-03-27,46.64,46.98,45.72,46.22,3866500,False
64,2026-03-26,47.7,47.97,46.1,46.33,2531889,False
65,2026-03-25,47.0,48.9,46.91,48.3,3501725,False
66,2026-03-24,47.5,48.0,46.71,46.87,1442133,False
67,2026-03-19,46.0,46.97,45.6,46.24,884751,False
68,2026-03-18,46.46,48.45,45.96,47.76,1756201,False
69,2026-03-17,46.04,46.98,45.71,46.4,336449,False
70,2026-03-16,47.5,47.6,45.8,46.03,597640,False
71,2026-03-13,47.0,47.87,46.26,47.25,1743199,False
72,2026-03-12,46.96,47.88,45.7,47.33,2060775,False
73,2026-03-11,45.0,47.88,45.0,46.61,3375101,False
