date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,5.85,5.97,5.78,5.85,1212242,False
1,2026-06-30,5.78,5.96,5.78,5.9,1826904,False
2,2026-06-29,5.96,5.96,5.74,5.78,1373851,False
3,2026-06-24,5.99,6.04,5.87,5.9,2038242,False
4,2026-06-23,5.92,6.05,5.9,5.91,795918,False
5,2026-06-22,6.15,6.15,5.91,5.94,1368632,False
6,2026-06-19,6.37,6.37,5.95,6.03,4061752,False
7,2026-06-18,6.24,6.38,6.02,6.22,11961347,False
8,2026-06-17,5.86,6.25,5.86,6.08,15210861,False
9,2026-06-16,6.0,6.05,5.91,5.93,2486473,False
10,2026-06-15,6.05,6.07,5.86,5.96,4030750,False
11,2026-06-12,5.88,6.1,5.82,5.87,3657994,False
12,2026-06-11,5.95,6.11,5.86,5.88,3440598,False
13,2026-06-10,6.05,6.15,5.81,6.0,3351959,False
14,2026-06-09,5.89,6.24,5.81,5.97,6388649,False
15,2026-06-08,5.76,5.86,5.72,5.76,1563451,False
16,2026-06-05,6.0,6.0,5.85,5.9,1343902,False
17,2026-06-04,6.07,6.1,5.91,5.94,1704885,False
18,2026-06-03,6.0,6.26,5.85,6.01,3190102,False
19,2026-06-02,5.84,6.39,5.7,6.0,10547271,False
20,2026-06-01,5.95,5.95,5.7,5.76,1455205,False
21,2026-05-29,5.82,6.1,5.7,5.83,2369981,False
22,2026-05-25,5.96,5.96,5.4,5.7,2184560,False
23,2026-05-22,5.81,5.96,5.7,5.76,1458430,False
24,2026-05-21,5.91,6.11,5.85,5.89,1681580,False
25,2026-05-20,5.91,5.98,5.76,5.88,1186409,False
26,2026-05-19,6.25,6.25,5.81,5.87,2604004,False
27,2026-05-18,5.97,6.48,5.8,6.03,10242303,False
28,2026-05-15,5.85,5.99,5.75,5.79,2707830,False
29,2026-05-14,5.9,6.14,5.68,5.88,5665740,False
30,2026-05-13,6.18,6.28,5.63,5.83,2640520,False
31,2026-05-12,6.3,6.59,6.12,6.18,4516971,False
32,2026-05-11,6.28,6.41,6.19,6.28,3136562,False
33,2026-05-08,6.3,6.46,6.19,6.28,2762900,False
34,2026-05-07,6.57,6.65,6.3,6.35,5917499,False
35,2026-05-06,6.5,6.69,6.42,6.5,7725198,False
36,2026-05-05,6.25,6.5,6.22,6.31,6784669,False
37,2026-05-04,6.49,7.05,6.22,6.37,28374324,False
38,2026-04-30,6.5,6.6,6.02,6.23,24177089,False
39,2026-04-29,7.55,7.87,6.93,6.93,37355314,False
40,2026-04-28,9.0,9.59,7.93,7.93,92442988,False
41,2026-04-27,7.51,8.93,7.51,8.93,53100339,False
42,2026-04-24,8.11,8.44,7.3,7.93,72531224,False
43,2026-04-23,6.7,7.73,6.31,7.73,58862399,False
44,2026-04-22,6.01,6.73,5.65,6.73,54713017,False
45,2026-04-21,4.82,5.73,4.75,5.73,17145200,False
46,2026-04-20,4.71,4.83,4.55,4.73,1880076,False
47,2026-04-17,4.68,4.83,4.65,4.71,1413154,False
48,2026-04-16,4.76,4.87,4.51,4.72,3849413,False
49,2026-04-15,4.45,4.71,4.21,4.59,3632325,False
50,2026-04-14,4.3,4.42,4.21,4.36,649271,False
51,2026-04-13,4.26,4.46,4.02,4.21,1188186,False
52,2026-04-10,4.43,4.89,4.35,4.7,5643951,False
53,2026-04-09,4.52,4.6,4.22,4.32,748341,False
54,2026-04-08,4.25,4.58,4.2,4.52,1543018,False
55,2026-04-07,4.09,4.09,4.01,4.04,112156,False
56,2026-04-06,4.11,4.11,3.99,4.07,211911,False
57,2026-04-03,3.91,4.1,3.9,3.98,366593,False
58,2026-04-02,4.11,4.11,3.93,4.0,149411,False
59,2026-04-01,3.99,4.21,3.98,4.11,328066,False
60,2026-03-31,3.9,3.99,3.81,3.91,132340,False
61,2026-03-30,4.01,4.13,3.56,3.8,416834,False
62,2026-03-27,4.15,4.2,4.0,4.03,302992,False
63,2026-03-26,4.29,4.29,4.07,4.08,522900,False
64,2026-03-25,4.15,4.38,4.1,4.29,935334,False
65,2026-03-24,4.3,4.3,4.1,4.12,277075,False
66,2026-03-19,4.14,4.24,4.05,4.2,72396,False
67,2026-03-18,4.12,4.29,4.11,4.15,195975,False
68,2026-03-17,4.33,4.33,4.11,4.12,76069,False
69,2026-03-16,4.28,4.44,4.05,4.2,653556,False
70,2026-03-13,3.81,4.35,3.81,4.27,783757,False
71,2026-03-12,3.89,3.95,3.8,3.86,136600,False
72,2026-03-11,4.12,4.12,3.86,3.89,469190,False
73,2026-03-10,3.7,4.25,3.7,3.87,815922,False
74,2026-03-09,3.75,3.75,3.4,3.47,984276,False
75,2026-03-06,3.92,4.02,3.92,4.02,137145,False
76,2026-03-05,3.8,4.06,3.8,3.99,316531,False
77,2026-03-04,3.74,3.92,3.6,3.84,228874,False
78,2026-03-03,3.33,3.89,3.33,3.67,478932,False
79,2026-03-02,3.45,3.95,3.19,3.33,716350,False
80,2026-02-27,4.0,4.27,4.0,4.19,109034,False
81,2026-02-26,4.3,4.36,3.9,4.17,859090,False
82,2026-02-25,4.39,4.5,4.25,4.26,424572,False
83,2026-02-24,4.78,4.8,4.1,4.38,623002,False
84,2026-02-23,4.6,4.98,4.52,4.6,211865,False
85,2026-02-20,4.89,4.93,4.61,4.8,171698,False
86,2026-02-19,5.09,5.09,4.76,4.79,434933,False
87,2026-02-18,5.13,5.13,4.99,5.09,231878,False
88,2026-02-17,4.95,5.08,4.9,4.99,721671,False
89,2026-02-16,5.1,5.25,4.9,4.98,1375883,False
90,2026-02-13,5.3,5.3,5.11,5.16,289744,False
91,2026-02-12,5.45,5.45,5.11,5.17,1474341,False
92,2026-02-11,5.43,5.45,5.0,5.3,831974,False
93,2026-02-10,5.29,5.36,5.16,5.34,663984,False
94,2026-02-09,5.26,5.33,5.13,5.22,554384,False
95,2026-02-06,5.35,5.36,5.23,5.26,615956,False
96,2026-02-04,5.37,5.37,5.23,5.29,260355,False
97,2026-02-03,5.18,5.36,5.16,5.28,677835,False
98,2026-02-02,5.38,5.4,5.13,5.19,1337423,False
99,2026-01-30,5.44,5.44,5.2,5.23,1584852,False
100,2026-01-29,5.34,5.4,5.26,5.3,599799,False
101,2026-01-28,5.49,5.49,5.3,5.33,845460,False
102,2026-01-27,5.54,5.54,5.31,5.33,508279,False
103,2026-01-26,5.57,5.68,5.35,5.42,973342,False
104,2026-01-23,5.72,5.72,5.51,5.54,503671,False
105,2026-01-22,5.69,5.74,5.6,5.63,457871,False
106,2026-01-21,5.6,5.9,5.5,5.55,1604666,False
107,2026-01-20,5.63,5.7,5.51,5.59,1548999,False
108,2026-01-19,5.6,5.64,5.51,5.54,682860,False
109,2026-01-16,5.61,5.7,5.51,5.57,576554,False
110,2026-01-15,5.46,5.64,5.46,5.54,485191,False
111,2026-01-14,5.69,5.84,5.41,5.46,1361949,False
112,2026-01-13,5.9,5.9,5.65,5.71,1066780,False
113,2026-01-12,6.05,6.05,5.55,5.76,1445153,False
114,2026-01-09,5.95,6.07,5.86,5.95,1747029,False
115,2026-01-08,6.25,6.39,5.9,5.95,7744200,False
116,2026-01-07,5.79,6.35,5.68,6.17,19508768,False
117,2026-01-06,5.8,5.83,5.55,5.7,2047324,False
118,2026-01-05,5.6,5.79,5.59,5.7,1976149,False
119,2026-01-02,5.74,5.74,5.51,5.55,1033438,False
120,2026-01-01,5.45,5.64,5.37,5.58,2631186,False
121,2025-12-31,5.46,5.48,5.33,5.37,969950,False
122,2025-12-30,5.38,5.5,5.2,5.4,950894,False
123,2025-12-29,5.38,5.4,5.2,5.23,1996409,False
124,2025-12-26,5.5,5.54,5.2,5.27,3632009,False
125,2025-12-24,5.6,5.6,5.38,5.42,1474446,False
126,2025-12-23,5.7,5.75,5.5,5.52,688570,False
127,2025-12-22,5.89,5.95,5.62,5.66,1129916,False
128,2025-12-19,5.65,6.1,5.64,5.76,7891054,False
129,2025-12-18,5.67,5.7,5.52,5.56,2294745,False
130,2025-12-17,5.69,5.7,5.53,5.63,2958076,False
131,2025-12-16,5.65,5.75,5.56,5.63,1037219,False
132,2025-12-15,5.66,5.75,5.6,5.61,789986,False
133,2025-12-12,5.78,5.82,5.66,5.68,1295357,False
134,2025-12-11,5.75,5.77,5.6,5.72,1508223,False
135,2025-12-10,5.7,5.85,5.6,5.66,833453,False
136,2025-12-09,5.97,5.97,5.6,5.64,1086803,False
137,2025-12-08,5.41,5.94,5.41,5.74,3025974,False
138,2025-12-05,5.7,5.7,5.4,5.47,261919,False
139,2025-12-04,5.41,5.45,5.34,5.39,134355,False
140,2025-12-03,5.5,5.5,5.35,5.41,218720,False
141,2025-12-02,5.51,5.63,5.2,5.43,459759,False
142,2025-12-01,5.56,5.56,5.45,5.51,676448,False
143,2025-11-28,5.6,5.73,5.38,5.44,1781537,False
144,2025-11-27,5.65,5.65,5.45,5.6,759351,False
