,sector_code,sector_name,advance,decline,unchanged,turnover,market_cap_b
0,0801,AUTOMOBILE ASSEMBLER,9.0,1.0,0.0,6907897.0,771.45
1,0802,AUTOMOBILE PARTS & ACCESSORIES,4.0,8.0,0.0,24971720.0,300.5
2,0803,CABLE & ELECTRICAL GOODS,5.0,2.0,0.0,22047540.0,87.19
3,0804,CEMENT,15.0,3.0,0.0,61158517.0,1739.07
4,0805,CHEMICAL,13.0,11.0,0.0,32844597.0,355.49
5,0806,CLOSE - END MUTUAL FUND,3.0,0.0,0.0,4243284.0,7.37
6,0807,COMMERCIAL BANKS,18.0,1.0,0.0,165173242.0,5196.4
7,0808,ENGINEERING,5.0,8.0,3.0,16721158.0,148.84
8,0809,FERTILIZER,3.0,2.0,0.0,12646776.0,1528.45
9,0810,FOOD & PERSONAL CARE PRODUCTS,17.0,9.0,0.0,49230085.0,1397.5
10,0811,GLASS & CERAMICS,7.0,0.0,0.0,3426677.0,99.47
11,0812,INSURANCE,17.0,7.0,3.0,39895931.0,226.69
12,0813,INV. BANKS / INV. COS. / SECURITIES COS.,23.0,9.0,1.0,65391662.0,777.55
13,0814,JUTE,1.0,1.0,0.0,422393.0,0.98
14,0815,LEASING COMPANIES,0.0,2.0,0.0,29558.0,1.13
15,0816,LEATHER & TANNERIES,4.0,2.0,0.0,264102.0,143.89
16,0818,MISCELLANEOUS,7.0,9.0,2.0,2385086.0,129.98
17,0819,MODARABAS,11.0,6.0,2.0,4279662.0,16.0
18,0820,OIL & GAS EXPLORATION COMPANIES,2.0,2.0,0.0,8107574.0,3107.82
19,0821,OIL & GAS MARKETING COMPANIES,4.0,6.0,0.0,56586683.0,436.39
20,0822,"PAPER, BOARD & PACKAGING",8.0,3.0,0.0,4119634.0,143.68
21,0823,PHARMACEUTICALS,10.0,4.0,0.0,5267018.0,593.4
22,0824,POWER GENERATION & DISTRIBUTION,5.0,10.0,0.0,98329578.0,648.54
23,0825,REFINERY,4.0,0.0,0.0,17115707.0,190.39
24,0826,SUGAR & ALLIED INDUSTRIES,18.0,9.0,1.0,3527331.0,285.04
25,0827,SYNTHETIC & RAYON,2.0,3.0,0.0,45095.0,102.42
26,0828,TECHNOLOGY & COMMUNICATION,15.0,5.0,0.0,104200339.0,688.84
27,0829,TEXTILE COMPOSITE,18.0,14.0,5.0,21090939.0,496.21
28,0830,TEXTILE SPINNING,20.0,18.0,3.0,26804630.0,93.54
29,0831,TEXTILE WEAVING,2.0,4.0,0.0,2238526.0,7.04
30,0832,TOBACCO,2.0,0.0,0.0,10541.0,370.2
31,0833,TRANSPORT,5.0,1.0,0.0,26196428.0,177.76
32,0834,VANASPATI & ALLIED INDUSTRIES,2.0,0.0,0.0,69536.0,3.93
33,0835,WOOLLEN,0.0,1.0,0.0,4830.0,0.63
34,0836,REAL ESTATE INVESTMENT TRUST,2.0,4.0,0.0,12599597.0,112.37
35,0837,EXCHANGE TRADED FUNDS,7.0,2.0,0.0,24083000.0,7.01
36,0838,PROPERTY,3.0,2.0,0.0,18390537.0,73.17
37,0839,APPAREL,2.0,1.0,0.0,253581.0,32.58
