date,open,high,low,close,pair,source
2026-06-30,278.03139,278.64908,277.49452,278.10575,USD/PKR,twelvedata
2026-06-29,278.30544,279.0985,277.99351,278.04351,USD/PKR,twelvedata
2026-06-28,278.14445,278.7874,277.78936,278.36164,USD/PKR,twelvedata
2026-06-27,278.05423,278.54753,277.90241,278.14911,USD/PKR,twelvedata
2026-06-26,277.78497,278.49867,277.0685,278.0331,USD/PKR,twelvedata
2026-06-25,278.08101,278.6984,277.4179,277.81465,USD/PKR,twelvedata
2026-06-24,278.38151,278.88359,277.9851,278.0888,USD/PKR,twelvedata
2026-06-23,278.1819,278.846,278.00259,278.33992,USD/PKR,twelvedata
2026-06-22,278.0653,278.35682,277.66392,278.18996,USD/PKR,twelvedata
2026-06-21,278.14145,278.65411,277.50412,278.00659,USD/PKR,twelvedata
2026-06-20,278.26519,278.36788,278.09482,278.14396,USD/PKR,twelvedata
2026-06-19,278.22258,278.46515,278.0369,278.27798,USD/PKR,twelvedata
2026-06-18,278.27072,278.44611,278.13654,278.23415,USD/PKR,twelvedata
2026-06-17,278.27631,278.36643,278.17242,278.2731,USD/PKR,twelvedata
2026-06-16,278.25873,278.68194,277.99437,278.28859,USD/PKR,twelvedata
2026-06-15,278.03201,278.38886,278.03201,278.26882,USD/PKR,twelvedata
2026-06-14,278.3413,278.65068,277.49641,278.11985,USD/PKR,twelvedata
2026-06-13,278.29593,278.53191,278.20843,278.34081,USD/PKR,twelvedata
2026-06-12,278.13419,278.67452,276.92697,278.29511,USD/PKR,twelvedata
2026-06-11,278.2837,278.53895,278.03675,278.13351,USD/PKR,twelvedata
2026-06-10,278.32637,279.17457,278.21412,278.26864,USD/PKR,twelvedata
2026-06-09,278.37332,278.63438,278.10138,278.31684,USD/PKR,twelvedata
2026-06-08,278.38061,278.7052,277.96698,278.35521,USD/PKR,twelvedata
2026-06-07,278.43267,278.88291,278.21784,278.36314,USD/PKR,twelvedata
2026-06-06,278.48394,278.59282,278.3585,278.43071,USD/PKR,twelvedata
2026-06-05,278.25285,278.98303,277.96596,278.49912,USD/PKR,twelvedata
2026-06-04,278.45528,280.0301,277.93852,278.23211,USD/PKR,twelvedata
2026-06-03,278.32974,280.01836,278.1919,278.44865,USD/PKR,twelvedata
2026-06-02,278.46042,279.98031,278.14094,278.33358,USD/PKR,twelvedata
2026-06-01,278.4358,280.26705,278.14276,278.46006,USD/PKR,twelvedata
2026-05-31,278.38251,278.61526,278.36138,278.41989,USD/PKR,twelvedata
2026-05-30,278.51818,278.65332,278.36509,278.38058,USD/PKR,twelvedata
2026-05-29,278.53294,279.96188,276.90619,278.53058,USD/PKR,twelvedata
2026-05-28,278.53231,279.0077,278.33469,278.55801,USD/PKR,twelvedata
2026-05-27,278.52297,279.11516,278.16076,278.54057,USD/PKR,twelvedata
2026-05-26,278.32189,278.6321,278.03541,278.52801,USD/PKR,twelvedata
2026-05-25,278.0429,278.5795,277.07301,278.33179,USD/PKR,twelvedata
