Price,Close,High,Low,Open,Volume,pair,source
Ticker,PKR=X,PKR=X,PKR=X,PKR=X,PKR=X,,
date,,,,,,,
2020-01-01,154.5500030517578,154.2277374267578,154.2277374267578,154.2277374267578,0,PKR=X,yahoofinance
2020-01-02,154.2277374267578,154.5500030517578,153.46177673339844,153.56922912597656,0,PKR=X,yahoofinance
2020-01-03,154.0,154.89999389648438,153.45330810546875,153.62586975097656,0,PKR=X,yahoofinance
2020-01-06,154.4499969482422,154.60000610351562,152.99693298339844,152.99693298339844,0,PKR=X,yahoofinance
2020-01-07,154.60000610351562,154.60000610351562,153.66091918945312,153.85658264160156,0,PKR=X,yahoofinance
2020-01-08,154.5,154.5,153.54623413085938,153.93905639648438,0,PKR=X,yahoofinance
2020-01-09,154.25,154.25,153.3874053955078,153.7728271484375,0,PKR=X,yahoofinance
2020-01-10,154.0,154.0,153.4081268310547,153.4081268310547,0,PKR=X,yahoofinance
2020-01-13,153.0821075439453,154.60000610351562,153.064208984375,153.064208984375,0,PKR=X,yahoofinance
2020-01-14,154.60000610351562,154.60000610351562,153.22372436523438,153.22372436523438,0,PKR=X,yahoofinance
2020-01-15,154.5,154.5,153.3050537109375,153.4735565185547,0,PKR=X,yahoofinance
2020-01-16,154.3000030517578,154.3000030517578,153.21270751953125,153.2741241455078,0,PKR=X,yahoofinance
2020-01-17,154.25,153.54286193847656,153.15965270996094,153.54286193847656,0,PKR=X,yahoofinance
2020-01-20,153.15965270996094,154.3000030517578,153.23883056640625,153.40191650390625,0,PKR=X,yahoofinance
2020-01-21,154.0,154.0,153.13943481445312,153.1656036376953,0,PKR=X,yahoofinance
2020-01-22,154.0,154.25,153.08074951171875,153.47802734375,0,PKR=X,yahoofinance
2020-01-23,154.0,154.0500030517578,152.9551239013672,152.9551239013672,0,PKR=X,yahoofinance
2020-01-24,154.0,154.0,153.16070556640625,153.7676239013672,0,PKR=X,yahoofinance
2020-01-27,154.0,154.0,153.1565399169922,153.1565399169922,0,PKR=X,yahoofinance
2020-01-28,153.75,154.14999389648438,153.17947387695312,153.20765686035156,0,PKR=X,yahoofinance
2020-01-29,154.0,154.0,152.91343688964844,153.0925750732422,0,PKR=X,yahoofinance
2020-01-30,154.0500030517578,154.0500030517578,152.8016357421875,152.8016357421875,0,PKR=X,yahoofinance
2020-01-31,154.0,154.0,152.99244689941406,152.99244689941406,0,PKR=X,yahoofinance
2020-02-03,154.0,153.03358459472656,152.52053833007812,152.52053833007812,0,PKR=X,yahoofinance
2020-02-04,153.03358459472656,154.0,153.03155517578125,153.0847930908203,0,PKR=X,yahoofinance
2020-02-05,154.0,154.0,152.97027587890625,153.16531372070312,0,PKR=X,yahoofinance
2020-02-06,153.75,153.5,153.16915893554688,153.3166046142578,0,PKR=X,yahoofinance
