year,value,indicator,country,iso3
2025,407307214476.222,GDP (current US$),Pakistan,PAK
2024,371747087751.306,GDP (current US$),Pakistan,PAK
2023,336686348609.266,GDP (current US$),Pakistan,PAK
2022,374890295666.694,GDP (current US$),Pakistan,PAK
2021,348516647445.148,GDP (current US$),Pakistan,PAK
2020,300425609817.981,GDP (current US$),Pakistan,PAK
2019,320909472770.669,GDP (current US$),Pakistan,PAK
2018,356128166704.921,GDP (current US$),Pakistan,PAK
2017,339205534861.1,GDP (current US$),Pakistan,PAK
2016,313630000130.435,GDP (current US$),Pakistan,PAK
2015,299963590534.773,GDP (current US$),Pakistan,PAK
2014,271390474857.632,GDP (current US$),Pakistan,PAK
2013,258657231672.412,GDP (current US$),Pakistan,PAK
2012,250106966104.704,GDP (current US$),Pakistan,PAK
2011,230586581059.665,GDP (current US$),Pakistan,PAK
2010,196709621849.586,GDP (current US$),Pakistan,PAK
2009,187337783856.466,GDP (current US$),Pakistan,PAK
2008,202203748583.854,GDP (current US$),Pakistan,PAK
2007,184140869997.46,GDP (current US$),Pakistan,PAK
2006,161871385506.36,GDP (current US$),Pakistan,PAK
2005,145208562960.767,GDP (current US$),Pakistan,PAK
2004,132216048339.413,GDP (current US$),Pakistan,PAK
2003,112371913740.823,GDP (current US$),Pakistan,PAK
2002,97923302809.3537,GDP (current US$),Pakistan,PAK
2001,97145618479.9038,GDP (current US$),Pakistan,PAK
2000,99484802344.5277,GDP (current US$),Pakistan,PAK
1999,62973857068.5113,GDP (current US$),Pakistan,PAK
1998,62191955814.3478,GDP (current US$),Pakistan,PAK
1997,62433340468.0228,GDP (current US$),Pakistan,PAK
1996,63320170084.4076,GDP (current US$),Pakistan,PAK
1995,60636071684.1918,GDP (current US$),Pakistan,PAK
1994,52293470813.1336,GDP (current US$),Pakistan,PAK
1993,51809999353.1614,GDP (current US$),Pakistan,PAK
1992,48884671947.4657,GDP (current US$),Pakistan,PAK
1991,45625336680.2047,GDP (current US$),Pakistan,PAK
1990,40010423970.4576,GDP (current US$),Pakistan,PAK
1989,40171106279.0078,GDP (current US$),Pakistan,PAK
1988,38472742808.3167,GDP (current US$),Pakistan,PAK
1987,33351529274.6869,GDP (current US$),Pakistan,PAK
1986,31899070055.7967,GDP (current US$),Pakistan,PAK
1985,31144920844.3272,GDP (current US$),Pakistan,PAK
1984,31151825467.4978,GDP (current US$),Pakistan,PAK
1983,28691889763.7795,GDP (current US$),Pakistan,PAK
1982,30725971563.981,GDP (current US$),Pakistan,PAK
1981,28100606060.6061,GDP (current US$),Pakistan,PAK
1980,23654444444.4444,GDP (current US$),Pakistan,PAK
1979,19688383838.3838,GDP (current US$),Pakistan,PAK
1978,17811515151.5152,GDP (current US$),Pakistan,PAK
1977,15126060606.0606,GDP (current US$),Pakistan,PAK
1976,13168080808.0808,GDP (current US$),Pakistan,PAK
1975,11230606060.6061,GDP (current US$),Pakistan,PAK
1974,8899191919.19192,GDP (current US$),Pakistan,PAK
1973,6383429490.21091,GDP (current US$),Pakistan,PAK
1972,9415016359.56604,GDP (current US$),Pakistan,PAK
1971,10665896682.0664,GDP (current US$),Pakistan,PAK
1970,10027509449.811,GDP (current US$),Pakistan,PAK
1969,8683116337.67325,GDP (current US$),Pakistan,PAK
1968,8041999160.0168,GDP (current US$),Pakistan,PAK
1967,7464510709.7858,GDP (current US$),Pakistan,PAK
1966,6561108777.82444,GDP (current US$),Pakistan,PAK
1965,5929231415.37169,GDP (current US$),Pakistan,PAK
1964,5204955900.88198,GDP (current US$),Pakistan,PAK
1963,4630827383.45233,GDP (current US$),Pakistan,PAK
1962,4310163796.72407,GDP (current US$),Pakistan,PAK
1961,4118647627.04746,GDP (current US$),Pakistan,PAK
1960,3749265014.69971,GDP (current US$),Pakistan,PAK
