year,value,indicator,country,iso3
2025,3.69842668749033,GDP Growth Rate (annual %),Pakistan,PAK
2024,3.08176295579301,GDP Growth Rate (annual %),Pakistan,PAK
2023,-0.414935997088406,GDP Growth Rate (annual %),Pakistan,PAK
2022,4.7781068690358,GDP Growth Rate (annual %),Pakistan,PAK
2021,6.51388575852702,GDP Growth Rate (annual %),Pakistan,PAK
2020,-1.27408744338709,GDP Growth Rate (annual %),Pakistan,PAK
2019,2.49763692943365,GDP Growth Rate (annual %),Pakistan,PAK
2018,6.15170261099519,GDP Growth Rate (annual %),Pakistan,PAK
2017,4.43262590683975,GDP Growth Rate (annual %),Pakistan,PAK
2016,6.57383828511043,GDP Growth Rate (annual %),Pakistan,PAK
2015,4.21794209572506,GDP Growth Rate (annual %),Pakistan,PAK
2014,4.11642817161422,GDP Growth Rate (annual %),Pakistan,PAK
2013,4.36686504978387,GDP Growth Rate (annual %),Pakistan,PAK
2012,3.02758391088629,GDP Growth Rate (annual %),Pakistan,PAK
2011,2.68011685421705,GDP Growth Rate (annual %),Pakistan,PAK
2010,1.50171752152883,GDP Growth Rate (annual %),Pakistan,PAK
2009,3.47255059567348,GDP Growth Rate (annual %),Pakistan,PAK
2008,2.1204410433083,GDP Growth Rate (annual %),Pakistan,PAK
2007,4.4448143398844,GDP Growth Rate (annual %),Pakistan,PAK
2006,6.05163767569996,GDP Growth Rate (annual %),Pakistan,PAK
2005,7.2765744364722,GDP Growth Rate (annual %),Pakistan,PAK
2004,7.83125556961251,GDP Growth Rate (annual %),Pakistan,PAK
2003,5.40131087314342,GDP Growth Rate (annual %),Pakistan,PAK
2002,2.59481668445784,GDP Growth Rate (annual %),Pakistan,PAK
2001,3.65135017083765,GDP Growth Rate (annual %),Pakistan,PAK
2000,4.2600880111325,GDP Growth Rate (annual %),Pakistan,PAK
1999,3.66013273943236,GDP Growth Rate (annual %),Pakistan,PAK
1998,2.55023429817393,GDP Growth Rate (annual %),Pakistan,PAK
1997,1.01439601077892,GDP Growth Rate (annual %),Pakistan,PAK
1996,4.84658128681654,GDP Growth Rate (annual %),Pakistan,PAK
1995,4.96260914623281,GDP Growth Rate (annual %),Pakistan,PAK
1994,3.73741555767747,GDP Growth Rate (annual %),Pakistan,PAK
1993,1.7577476978468,GDP Growth Rate (annual %),Pakistan,PAK
1992,7.70589781716029,GDP Growth Rate (annual %),Pakistan,PAK
1991,5.06156775897861,GDP Growth Rate (annual %),Pakistan,PAK
1990,4.45858681510218,GDP Growth Rate (annual %),Pakistan,PAK
1989,4.95976889440439,GDP Growth Rate (annual %),Pakistan,PAK
1988,7.62527877959378,GDP Growth Rate (annual %),Pakistan,PAK
1987,6.45234302466982,GDP Growth Rate (annual %),Pakistan,PAK
1986,5.50165366386253,GDP Growth Rate (annual %),Pakistan,PAK
1985,7.59211469875896,GDP Growth Rate (annual %),Pakistan,PAK
1984,5.06520560476402,GDP Growth Rate (annual %),Pakistan,PAK
1983,6.77837833870171,GDP Growth Rate (annual %),Pakistan,PAK
1982,6.53748679998847,GDP Growth Rate (annual %),Pakistan,PAK
1981,7.92076357199696,GDP Growth Rate (annual %),Pakistan,PAK
1980,10.2157040372755,GDP Growth Rate (annual %),Pakistan,PAK
1979,3.75843556852186,GDP Growth Rate (annual %),Pakistan,PAK
1978,8.04853361937855,GDP Growth Rate (annual %),Pakistan,PAK
1977,3.94769828741323,GDP Growth Rate (annual %),Pakistan,PAK
1976,5.15618958986124,GDP Growth Rate (annual %),Pakistan,PAK
1975,4.21141563146435,GDP Growth Rate (annual %),Pakistan,PAK
1974,3.54019171278873,GDP Growth Rate (annual %),Pakistan,PAK
1973,7.06426385694971,GDP Growth Rate (annual %),Pakistan,PAK
1972,0.813406404584697,GDP Growth Rate (annual %),Pakistan,PAK
1971,0.468372548493363,GDP Growth Rate (annual %),Pakistan,PAK
1970,11.3534617181927,GDP Growth Rate (annual %),Pakistan,PAK
1969,5.5078996342957,GDP Growth Rate (annual %),Pakistan,PAK
1968,7.23322092498739,GDP Growth Rate (annual %),Pakistan,PAK
1967,5.4006125972184,GDP Growth Rate (annual %),Pakistan,PAK
1966,5.78995180142022,GDP Growth Rate (annual %),Pakistan,PAK
1965,10.4193658220408,GDP Growth Rate (annual %),Pakistan,PAK
1964,7.56975744902432,GDP Growth Rate (annual %),Pakistan,PAK
1963,8.68883151825786,GDP Growth Rate (annual %),Pakistan,PAK
1962,4.48285862750326,GDP Growth Rate (annual %),Pakistan,PAK
1961,5.98734641929141,GDP Growth Rate (annual %),Pakistan,PAK
