year,value,indicator,country,iso3
2025,3.54555214890893,Inflation (annual %),Pakistan,PAK
2024,12.6325318530452,Inflation (annual %),Pakistan,PAK
2023,30.7681280657005,Inflation (annual %),Pakistan,PAK
2022,19.8738599646655,Inflation (annual %),Pakistan,PAK
2021,9.49641577285205,Inflation (annual %),Pakistan,PAK
2020,9.74011619320125,Inflation (annual %),Pakistan,PAK
2019,10.5780305672025,Inflation (annual %),Pakistan,PAK
2018,5.07805725868917,Inflation (annual %),Pakistan,PAK
2017,4.08537368032608,Inflation (annual %),Pakistan,PAK
2016,3.7651191635658,Inflation (annual %),Pakistan,PAK
2015,2.52932817254229,Inflation (annual %),Pakistan,PAK
2014,7.18938402847028,Inflation (annual %),Pakistan,PAK
2013,7.69215611899565,Inflation (annual %),Pakistan,PAK
2012,9.68235186055684,Inflation (annual %),Pakistan,PAK
2011,11.9160927116277,Inflation (annual %),Pakistan,PAK
2010,12.9388705634889,Inflation (annual %),Pakistan,PAK
2009,13.6477650639761,Inflation (annual %),Pakistan,PAK
2008,20.2861210929554,Inflation (annual %),Pakistan,PAK
2007,7.59868441050774,Inflation (annual %),Pakistan,PAK
2006,7.92108440058789,Inflation (annual %),Pakistan,PAK
2005,9.06332737030417,Inflation (annual %),Pakistan,PAK
2004,7.44462469342739,Inflation (annual %),Pakistan,PAK
2003,2.91413470059479,Inflation (annual %),Pakistan,PAK
2002,3.29034472613153,Inflation (annual %),Pakistan,PAK
2001,3.14826144590618,Inflation (annual %),Pakistan,PAK
2000,4.36666451291681,Inflation (annual %),Pakistan,PAK
1999,4.14263718082171,Inflation (annual %),Pakistan,PAK
1998,6.22800415424543,Inflation (annual %),Pakistan,PAK
1997,11.3754928865122,Inflation (annual %),Pakistan,PAK
1996,10.3738085885002,Inflation (annual %),Pakistan,PAK
1995,12.3435785170513,Inflation (annual %),Pakistan,PAK
1994,12.3681943936948,Inflation (annual %),Pakistan,PAK
1993,9.97366476029209,Inflation (annual %),Pakistan,PAK
1992,9.5090414619015,Inflation (annual %),Pakistan,PAK
1991,11.7912703351416,Inflation (annual %),Pakistan,PAK
1990,9.05213155279776,Inflation (annual %),Pakistan,PAK
1989,7.84426473740044,Inflation (annual %),Pakistan,PAK
1988,8.83793701817773,Inflation (annual %),Pakistan,PAK
1987,4.68121854620213,Inflation (annual %),Pakistan,PAK
1986,3.50641424758205,Inflation (annual %),Pakistan,PAK
1985,5.61483921793224,Inflation (annual %),Pakistan,PAK
1984,6.08716673573716,Inflation (annual %),Pakistan,PAK
1983,6.362033499853,Inflation (annual %),Pakistan,PAK
1982,5.90352878435863,Inflation (annual %),Pakistan,PAK
1981,11.8799135925283,Inflation (annual %),Pakistan,PAK
1980,11.9382309107087,Inflation (annual %),Pakistan,PAK
1979,8.26704697617572,Inflation (annual %),Pakistan,PAK
1978,6.13869266742743,Inflation (annual %),Pakistan,PAK
1977,10.1329676874055,Inflation (annual %),Pakistan,PAK
1976,7.15832373118465,Inflation (annual %),Pakistan,PAK
1975,20.9045094573998,Inflation (annual %),Pakistan,PAK
1974,26.6630348537488,Inflation (annual %),Pakistan,PAK
1973,23.0700840250844,Inflation (annual %),Pakistan,PAK
1972,5.18323764549138,Inflation (annual %),Pakistan,PAK
1971,4.73069148232272,Inflation (annual %),Pakistan,PAK
1970,5.34984090983017,Inflation (annual %),Pakistan,PAK
1969,3.18698679573686,Inflation (annual %),Pakistan,PAK
1968,0.170627348438101,Inflation (annual %),Pakistan,PAK
1967,6.81139963428688,Inflation (annual %),Pakistan,PAK
1966,7.22762159787735,Inflation (annual %),Pakistan,PAK
1965,5.56863547936375,Inflation (annual %),Pakistan,PAK
1964,4.17958688145319,Inflation (annual %),Pakistan,PAK
1963,1.45648844797496,Inflation (annual %),Pakistan,PAK
1962,-0.5164622336985,Inflation (annual %),Pakistan,PAK
1961,1.64041994750609,Inflation (annual %),Pakistan,PAK
1960,6.94736842105289,Inflation (annual %),Pakistan,PAK
