year,value,indicator,country,iso3
2025,5.42,Unemployment Rate (%),Pakistan,PAK
2024,5.492,Unemployment Rate (%),Pakistan,PAK
2023,5.237,Unemployment Rate (%),Pakistan,PAK
2022,5.291,Unemployment Rate (%),Pakistan,PAK
2021,6.338,Unemployment Rate (%),Pakistan,PAK
2020,5.994,Unemployment Rate (%),Pakistan,PAK
2019,4.83,Unemployment Rate (%),Pakistan,PAK
2018,4.083,Unemployment Rate (%),Pakistan,PAK
2017,3.204,Unemployment Rate (%),Pakistan,PAK
2016,2.285,Unemployment Rate (%),Pakistan,PAK
2015,3.566,Unemployment Rate (%),Pakistan,PAK
2014,1.827,Unemployment Rate (%),Pakistan,PAK
2013,2.954,Unemployment Rate (%),Pakistan,PAK
2012,3.667,Unemployment Rate (%),Pakistan,PAK
2011,0.796,Unemployment Rate (%),Pakistan,PAK
2010,0.653,Unemployment Rate (%),Pakistan,PAK
2009,0.535,Unemployment Rate (%),Pakistan,PAK
2008,0.423,Unemployment Rate (%),Pakistan,PAK
2007,0.398,Unemployment Rate (%),Pakistan,PAK
2006,0.582,Unemployment Rate (%),Pakistan,PAK
2005,0.583,Unemployment Rate (%),Pakistan,PAK
2004,0.598,Unemployment Rate (%),Pakistan,PAK
2003,0.612,Unemployment Rate (%),Pakistan,PAK
2002,0.615,Unemployment Rate (%),Pakistan,PAK
2001,0.611,Unemployment Rate (%),Pakistan,PAK
2000,0.614,Unemployment Rate (%),Pakistan,PAK
1999,0.625,Unemployment Rate (%),Pakistan,PAK
1998,0.62,Unemployment Rate (%),Pakistan,PAK
1997,0.611,Unemployment Rate (%),Pakistan,PAK
1996,0.6,Unemployment Rate (%),Pakistan,PAK
1995,0.611,Unemployment Rate (%),Pakistan,PAK
1994,0.601,Unemployment Rate (%),Pakistan,PAK
1993,0.596,Unemployment Rate (%),Pakistan,PAK
1992,0.587,Unemployment Rate (%),Pakistan,PAK
1991,0.596,Unemployment Rate (%),Pakistan,PAK
